N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 5.623e+15 340 1.097810089E+00 1.102870719E+00
1.468000E+10 5.623e+15 340 1.099405464E+00 1.102911369E+00
2.154000E+10 5.623e+15 340 1.100545568E+00 1.102963086E+00
3.162000E+10 5.623e+15 340 1.101387002E+00 1.103048228E+00
4.642000E+10 5.623e+15 340 1.102028981E+00 1.103169308E+00
6.813000E+10 5.623e+15 340 1.102558198E+00 1.103340048E+00
1.000000E+11 5.623e+15 340 1.103051304E+00 1.103586874E+00
1.468000E+11 5.623e+15 340 1.103559635E+00 1.103927729E+00
2.154000E+11 5.623e+15 340 1.105058696E+00 1.105375348E+00
3.162000E+11 5.623e+15 340 1.110504467E+00 1.110775078E+00
4.642000E+11 5.623e+15 340 1.117136977E+00 1.117361286E+00
6.813000E+11 5.623e+15 340 1.124334453E+00 1.124445392E+00
1.000000E+12 5.623e+15 340 1.126179992E+00 1.126257509E+00
1.468000E+12 5.623e+15 340 1.133449828E+00 1.133530078E+00
2.154000E+12 5.623e+15 340 1.142806775E+00 1.142879063E+00
3.162000E+12 5.623e+15 340 1.153219309E+00 1.153280920E+00
4.642000E+12 5.623e+15 340 1.154972148E+00 1.154992629E+00
6.813000E+12 5.623e+15 340 1.156524048E+00 1.156593249E+00
1.000000E+13 5.623e+15 340 1.161865012E+00 1.161896980E+00
