N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 5.623e+15 295 1.132901893E+00 1.140478072E+00
1.468000E+10 5.623e+15 295 1.134968319E+00 1.140569560E+00
2.154000E+10 5.623e+15 295 1.136637245E+00 1.140703558E+00
3.162000E+10 5.623e+15 295 1.137983399E+00 1.140899624E+00
4.642000E+10 5.623e+15 295 1.139108145E+00 1.141186113E+00
6.813000E+10 5.623e+15 295 1.140124610E+00 1.141603858E+00
1.000000E+11 5.623e+15 295 1.141153299E+00 1.142211143E+00
1.468000E+11 5.623e+15 295 1.142325779E+00 1.143090171E+00
2.154000E+11 5.623e+15 295 1.143793067E+00 1.144354739E+00
3.162000E+11 5.623e+15 295 1.144787392E+00 1.144879030E+00
4.642000E+11 5.623e+15 295 1.145295382E+00 1.145358158E+00
6.813000E+11 5.623e+15 295 1.145898650E+00 1.145941702E+00
1.000000E+12 5.623e+15 295 1.146583438E+00 1.146612992E+00
1.468000E+12 5.623e+15 295 1.147208003E+00 1.147228239E+00
2.154000E+12 5.623e+15 295 1.147920885E+00 1.147934790E+00
3.162000E+12 5.623e+15 295 1.148661848E+00 1.148671385E+00
4.642000E+12 5.623e+15 295 1.149180588E+00 1.149187136E+00
6.813000E+12 5.623e+15 295 1.149777614E+00 1.149782092E+00
1.000000E+13 5.623e+15 295 1.15023582E+00 1.15065974E+00
