N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 5.623e+15 320 1.159561215E+00 1.166176702E+00
1.468000E+10 5.623e+15 320 1.162005264E+00 1.166620526E+00
2.154000E+10 5.623e+15 320 1.164054120E+00 1.167267193E+00
3.162000E+10 5.623e+15 320 1.165967420E+00 1.168205957E+00
4.642000E+10 5.623e+15 320 1.167996423E+00 1.169561879E+00
6.813000E+10 5.623e+15 320 1.170189689E+00 1.171279939E+00
1.000000E+11 5.623e+15 320 1.171604684E+00 1.172360177E+00
1.468000E+11 5.623e+15 320 1.173330009E+00 1.173856127E+00
2.154000E+11 5.623e+15 320 1.175507582E+00 1.175876500E+00
3.162000E+11 5.623e+15 320 1.178253409E+00 1.178514303E+00
4.642000E+11 5.623e+15 320 1.179176402E+00 1.179356193E+00
6.813000E+11 5.623e+15 320 1.180277147E+00 1.180415942E+00
1.000000E+12 5.623e+15 320 1.181812546E+00 1.181968029E+00
1.468000E+12 5.623e+15 320 1.185347228E+00 1.185492827E+00
2.154000E+12 5.623e+15 320 1.187830684E+00 1.187872388E+00
3.162000E+12 5.623e+15 320 1.190926607E+00 1.191001982E+00
4.642000E+12 5.623e+15 320 1.195670448E+00 1.195692063E+00
6.813000E+12 5.623e+15 320 1.196889429E+00 1.196904575E+00
1.000000E+13 5.623e+15 320 1.198321914E+00 1.198332524E+00
