N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 5.623e+15 310 1.168664421E+00 1.176395154E+00
1.468000E+10 5.623e+15 310 1.170405552E+00 1.176434233E+00
2.154000E+10 5.623e+15 310 1.171632518E+00 1.176491533E+00
3.162000E+10 5.623e+15 310 1.173188059E+00 1.176575537E+00
4.642000E+10 5.623e+15 310 1.174649848E+00 1.176698578E+00
6.813000E+10 5.623e+15 310 1.175419260E+00 1.176878656E+00
1.000000E+11 5.623e+15 310 1.176104160E+00 1.177141774E+00
1.468000E+11 5.623e+15 310 1.176784912E+00 1.177525487E+00
2.154000E+11 5.623e+15 310 1.177549634E+00 1.178083284E+00
3.162000E+11 5.623e+15 310 1.178499707E+00 1.178890412E+00
4.642000E+11 5.623e+15 310 1.179757840E+00 1.179954800E+00
6.813000E+11 5.623e+15 310 1.180604520E+00 1.180693423E+00
1.000000E+12 5.623e+15 310 1.181524479E+00 1.181585610E+00
1.468000E+12 5.623e+15 310 1.182562811E+00 1.182604896E+00
2.154000E+12 5.623e+15 310 1.183535908E+00 1.183564832E+00
3.162000E+12 5.623e+15 310 1.184445306E+00 1.184464790E+00
4.642000E+12 5.623e+15 310 1.185183767E+00 1.185197193E+00
6.813000E+12 5.623e+15 310 1.194963806E+00 1.194973890E+00
1.000000E+13 5.623e+15 310 1.195726863E+00 1.195733808E+00
