N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 3.114270000E-04 2.562870000E-04 2.207280000E-04 1.963410000E-04
1.600000000E+01 4.320576000E-03 3.576812000E-03 3.071125000E-03 2.708910000E-03
1.700000000E+01 3.480142900E-02 3.220882800E-02 3.029909300E-02 2.880916100E-02
1.549996187E+01 1.228198000E-03 1.001314000E-03 8.523590000E-04 7.492420000E-04
1.649996187E+01 1.363694200E-02 1.189197200E-02 1.061796400E-02 9.670010000E-03
1.674996808E+01 2.247990200E-02 2.023916200E-02 1.854068100E-02 1.725481200E-02
1.624993176E+01 7.833195000E-03 6.632622000E-03 5.786127000E-03 5.168556000E-03
1.574996808E+01 2.321914000E-03 1.898462000E-03 1.615966000E-03 1.418384000E-03
1.524993176E+01 6.381580000E-04 5.228810000E-04 4.477820000E-04 3.964790000E-04
