N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.017212989E+00 1.015553673E+00 1.014279009E+00 1.013226327E+00
1.600000000E+01 1.259691755E+00 1.256634633E+00 1.254080591E+00 1.251894018E+00
1.700000000E+01 1.328571665E+00 1.326044736E+00 1.322884178E+00 1.321963136E+00
1.549996187E+01 1.202656380E+00 1.195999285E+00 1.192472558E+00 1.189683371E+00
1.649996187E+01 1.290365824E+00 1.288244394E+00 1.286413478E+00 1.285086325E+00
1.674996808E+01 1.308879785E+00 1.305036529E+00 1.303508668E+00 1.302268423E+00
1.624993176E+01 1.275292180E+00 1.272597105E+00 1.270645035E+00 1.268691158E+00
1.574996808E+01 1.239680462E+00 1.235586607E+00 1.232524193E+00 1.230940011E+00
1.524993176E+01 1.107917001E+00 1.097673902E+00 1.089947805E+00 1.085180001E+00
