fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
0T01 8:37:14 291.8 39.73 1.000E+000 9.515E-001 1.923E-006 1.000E+012 2.878E+000 2.091E-008 1.669E-006 4.088E-002 1.669E-006 1.934E-008 2.834E-001 2.170E-002 8.870E-007 2.768E-003 
0T02 8:51:34 294.7 39.34 1.000E+000 9.544E-001 1.909E-006 1.000E+012 2.834E+000 2.465E-008 1.498E-006 3.490E-002 1.498E-006 1.456E-008 2.785E-001 1.840E-002 7.869E-007 2.488E-003 
0T03 9:14:08 297.7 38.95 1.000E+000 5.991E-001 2.412E-006 1.000E+012 2.745E+000 3.117E-008 9.458E-007 2.287E-002 9.457E-007 5.817E-009 2.689E-001 1.190E-002 4.847E-007 2.814E-003 
0T04 9:34:30 301.1 38.51 1.000E+000 6.028E-001 2.469E-006 1.000E+012 2.698E+000 3.770E-008 4.857E-007 1.151E-002 4.857E-007 1.450E-009 2.595E-001 5.900E-003 2.416E-007 2.514E-003 
0T05 9:53:18 305.2 37.99 1.000E+000 6.397E-001 2.376E-006 1.000E+012 2.658E+000 4.577E-008 1.000E-008 2.223E-004 1.000E-008 5.506E-013 2.476E-001 1.000E-004 1.006E-009 2.094E-003 
0T06 10:10:40 309.3 37.49 1.000E+000 6.369E-001 2.375E-006 1.000E+012 2.641E+000 5.189E-008 1.000E-008 1.839E-004 1.000E-008 5.550E+002 5.550E+002 5.550E+002 5.550E+002 2.031E-003 
0T07 10:28:58 311.6 37.21 1.000E+000 6.471E-001 2.396E-006 1.000E+012 2.619E+000 5.662E-008 1.000E-008 1.680E-004 1.000E-008 5.550E+002 5.550E+002 5.550E+002 5.550E+002 1.747E-003 
0T08 10:50:04 314.7 36.84 1.000E+000 6.952E-001 2.393E-006 1.000E+012 2.606E+000 6.297E-008 1.000E-008 1.484E-004 1.000E-008 5.550E+002 5.550E+002 5.550E+002 5.550E+002 1.707E-003 
0T09 11:07:12 318.1 36.45 1.000E+000 6.766E-001 2.380E-006 1.000E+012 2.578E+000 6.968E-008 1.000E-008 1.276E-004 9.999E-009 5.550E+002 5.550E+002 5.550E+002 5.550E+002 2.022E-003 
0T10 11:24:42 321.4 36.07 1.000E+000 6.477E-001 2.395E-006 1.000E+012 2.580E+000 7.535E-008 1.000E-008 1.097E-004 9.999E-009 5.550E+002 5.550E+002 5.550E+002 5.550E+002 2.307E-003 
0T11 11:42:10 325.1 35.66 1.000E+000 6.710E-001 2.433E-006 1.000E+012 2.537E+000 8.537E-008 1.000E-008 9.490E-005 9.999E-009 5.550E+002 5.550E+002 5.550E+002 5.550E+002 2.307E-003 
0T12 11:58:08 328.4 35.31 1.000E+000 6.718E-001 2.489E-006 1.000E+012 2.535E+000 9.231E-008 1.000E-008 8.225E-005 9.999E-009 5.550E+002 5.550E+002 5.550E+002 5.550E+002 1.958E-003 
0T13 12:15:22 331.3 35 1.000E+000 6.494E-001 2.619E-006 1.000E+012 2.501E+000 1.010E-007 1.000E-008 7.336E-005 9.999E-009 5.550E+002 5.550E+002 5.550E+002 5.550E+002 1.747E-003 
0T14 12:32:02 334.6 34.65 1.000E+000 6.946E-001 2.599E-006 1.000E+012 2.498E+000 1.081E-007 1.000E-008 6.341E-005 9.999E-009 5.550E+002 5.550E+002 5.550E+002 5.550E+002 1.802E-003 
0T15 12:51:16 338.7 34.23 1.000E+000 7.180E-001 2.667E-006 1.000E+012 2.512E+000 1.167E-007 1.000E-008 5.313E-005 9.999E-009 5.550E+002 5.550E+002 5.550E+002 5.550E+002 1.760E-003 
0T16 13:09:20 342.2 33.88 1.000E+000 6.701E-001 2.984E-006 1.000E+012 2.452E+000 1.331E-007 1.000E-008 4.762E-005 9.999E-009 5.550E+002 5.550E+002 5.550E+002 5.550E+002 1.723E-003 
T020 8:59:54 294.4 39.38 1.000E+000 5.935E-001 2.422E-006 1.000E+012 2.816E+000 2.501E-008 1.367E-006 3.322E-002 1.367E-006 1.259E-008 2.773E-001 1.750E-002 7.152E-007 3.106E-003 
