fname time Tem kT_1 n Rs Io Rsh Fb rmsre 
00D1 28640 317.39 36.53 1.039537020E+00 7.957917590E-01 9.713697839E-10 1.000000000E+20 9.178834813E-01 4.337979916E-02 
00D2 28812 329.94 35.14 1.041712569E+00 7.976670737E-01 7.005003548E-09 1.000000000E+20 9.001625106E-01 2.240560345E-01 
00D3 28928 332.3 34.891 1.043541221E+00 7.759498288E-01 8.592427529E-09 1.000000000E+20 9.011555865E-01 3.790629451E-02 
00D4 29070 329.23 35.216 1.037634542E+00 8.463191020E-01 5.440328415E-09 1.000000000E+20 9.052812143E-01 2.376663677E-02 
00D5 29156 328.61 35.283 1.038996376E+00 8.088063326E-01 5.064560693E-09 1.000000000E+20 9.054980941E-01 2.743197524E-02 
00D6 29288 329.23 35.216 1.039468876E+00 8.100830332E-01 5.617404400E-09 1.000000000E+20 9.043716798E-01 2.199195329E-01 
00D7 29464 329.68 35.168 1.039443196E+00 8.182004804E-01 6.017652045E-09 1.000000000E+20 9.037283745E-01 1.763261198E-02 
00D8 29594 329.66 35.17 1.036779494E+00 8.300905759E-01 5.819929970E-09 1.000000000E+20 9.046200219E-01 1.479331413E-01 
00D9 29734 329.73 35.163 1.037445302E+00 8.242385150E-01 5.932892922E-09 1.000000000E+20 9.042774780E-01 3.686979410E-02 
0D10 29802 329.76 35.16 1.037410354E+00 8.202565488E-01 5.998794916E-09 1.000000000E+20 9.040507407E-01 2.753890354E-02 
0D11 29944 329.82 35.153 1.036580398E+00 8.338402968E-01 6.003753576E-09 1.000000000E+20 9.042020793E-01 1.304122325E-02 
0D12 30070 329.87 35.148 1.036013902E+00 8.312108368E-01 5.951231599E-09 1.000000000E+20 9.045977724E-01 7.623674024E-02 
0D13 30184 329.89 35.146 1.034301018E+00 8.444918255E-01 5.887291482E-09 1.000000000E+20 9.049634218E-01 1.952126084E-02 
0D14 30284 329.91 35.144 1.033497764E+00 8.500047255E-01 5.845184539E-09 1.000000000E+20 9.052259810E-01 5.466557062E-02 
0D15 30420 329.94 35.14 1.036361013E+00 8.346517340E-01 6.048199102E-09 1.000000000E+20 9.043418709E-01 1.955856771E-02 
0D16 30544 329.96 35.138 1.037811702E+00 7.983763748E-01 6.066093215E-09 1.000000000E+20 9.043160653E-01 2.007476296E-02 
0D17 30640 329.97 35.137 1.036961270E+00 8.175582337E-01 6.028298270E-09 1.000000000E+20 9.045230721E-01 1.650495972E-02 
0D18 30792 329.97 35.137 1.036897815E+00 8.219141879E-01 6.013683273E-09 1.000000000E+20 9.045921540E-01 6.953156157E-02 
0D19 30880 329.98 35.136 1.037548918E+00 8.249728191E-01 6.072040899E-09 1.000000000E+20 9.043464375E-01 2.459768935E-02 
0D20 31026 329.99 35.135 1.034625396E+00 8.361371852E-01 5.871743795E-09 1.000000000E+20 9.053302607E-01 2.496626856E-02 
0D21 31144 329.99 35.135 1.035022486E+00 8.295637861E-01 5.885443765E-09 1.000000000E+20 9.052639313E-01 1.457325486E-01 
0D22 31282 329.59 35.178 1.037015867E+00 8.141426391E-01 5.680774328E-09 1.000000000E+20 9.051038173E-01 3.353122030E-02 
0D23 31364 329.82 35.153 1.035906817E+00 8.282287125E-01 5.890081696E-09 1.000000000E+20 9.047458432E-01 9.514819866E-02 
0D24 31504 330.18 35.115 1.035901180E+00 8.286529303E-01 6.131171734E-09 1.000000000E+20 9.046530865E-01 3.036327234E-02 
0D25 31630 330.1 35.123 1.037850176E+00 8.048399061E-01 6.138063146E-09 1.000000000E+20 9.043881144E-01 2.462807104E-02 
0D26 31730 330.03 35.131 1.035991810E+00 8.241870625E-01 5.976318138E-09 1.000000000E+20 9.049444066E-01 2.528975363E-02 
0D27 31874 330.03 35.131 1.035368690E+00 8.297996390E-01 5.959799973E-09 1.000000000E+20 9.050231912E-01 3.513253441E-02 
0D28 31982 330.03 35.131 1.036543515E+00 8.169071742E-01 6.041652654E-09 1.000000000E+20 9.046349082E-01 1.407272315E-02 
0D29 32082 330.03 35.131 1.035771222E+00 7.987533062E-01 5.950179733E-09 1.000000000E+20 9.050691763E-01 6.659053066E-02 
0D30 32202 330.01 35.133 1.037270568E+00 7.937344667E-01 6.013724163E-09 1.000000000E+20 9.047085184E-01 2.746094669E-02 
0D31 32342 330.02 35.132 1.037895598E+00 7.792906497E-01 5.996314795E-09 1.000000000E+20 9.048201797E-01 1.645993150E-02 
0D32 32470 330.02 35.132 1.035150556E+00 8.304845631E-01 5.851018375E-09 1.000000000E+20 9.055183887E-01 4.696257630E-02 
0D33 32718 328.96 35.245 1.033256101E+00 1.668376135E+00 6.844055640E-09 1.000000000E+20 8.979795190E-01 2.187806638E-01 
0D34 32878 330.28 35.104 1.032947339E+00 1.614669220E+00 7.990973228E-09 1.000000000E+20 8.973974534E-01 8.207112961E-02 
0D35 32988 330.44 35.087 1.035432473E+00 1.564616022E+00 8.072403292E-09 1.000000000E+20 8.975708359E-01 2.957138747E-02 
0D36 33110 330.15 35.118 1.039513796E+00 1.518997057E+00 7.808545998E-09 1.000000000E+20 8.976794178E-01 2.218197024E-02 
0D37 33240 330.05 35.129 1.037841958E+00 1.551925981E+00 7.416900660E-09 1.000000000E+20 8.988551011E-01 6.174026833E-03 
0D38 33376 330.1 35.123 1.038935831E+00 1.516722392E+00 7.283585085E-09 1.000000000E+20 8.995163076E-01 9.138144091E-02 
0D39 33472 330.09 35.124 1.040967686E+00 1.475212912E+00 7.249030659E-09 1.000000000E+20 8.996227215E-01 1.974858739E-02 
0D40 33592 330.06 35.128 1.038800363E+00 1.524814966E+00 6.971246815E-09 1.000000000E+20 9.006481215E-01 1.276185644E-02 
0D41 33736 330.05 35.129 1.041190284E+00 1.507312648E+00 6.992141852E-09 1.000000000E+20 9.005339127E-01 1.164397443E-02 
0D42 33860 330.03 35.131 1.042248190E+00 1.470767250E+00 6.888247980E-09 1.000000000E+20 9.009020201E-01 3.036323410E-02 
0D43 33950 330.03 35.131 1.037379193E+00 1.461273333E+00 6.823039569E-09 1.000000000E+20 9.011727718E-01 7.370294057E-02 
0D44 34098 330.03 35.131 1.037603738E+00 1.479860696E+00 6.644707832E-09 1.000000000E+20 9.019266507E-01 2.818592802E-02 
0D45 34196 330.02 35.132 1.037664411E+00 1.424313693E+00 6.557888109E-09 1.000000000E+20 9.022719616E-01 1.084398772E-01 
0D46 34326 330.01 35.133 1.035109907E+00 1.467558597E+00 6.349520236E-09 1.000000000E+20 9.031619605E-01 6.607503486E-02 
0D47 34438 330.02 35.132 1.038593595E+00 1.441971999E+00 6.528610691E-09 1.000000000E+20 9.023993235E-01 2.107267302E-02 
0D48 34574 330.02 35.132 1.036870719E+00 1.419069884E+00 6.349083638E-09 1.000000000E+20 9.031930105E-01 4.847180013E-02 
0D49 34678 330.01 35.133 1.040473924E+00 1.390689427E+00 6.478362981E-09 1.000000000E+20 9.025901715E-01 1.090836354E-02 
0D50 34800 330.01 35.133 1.035110337E+00 1.445785531E+00 6.116167430E-09 1.000000000E+20 9.042277310E-01 9.989936223E-02 
0D51 34938 330.01 35.133 1.036708218E+00 1.413891510E+00 6.147719846E-09 1.000000000E+20 9.040812702E-01 3.442097501E-02 
0D52 35032 330.01 35.133 1.037898681E+00 1.389060777E+00 6.201207894E-09 1.000000000E+20 9.038346967E-01 1.538230548E-01 
0D53 35156 330.01 35.133 1.036467693E+00 1.414271705E+00 6.070756321E-09 1.000000000E+20 9.044398533E-01 2.690550072E-02 
0D54 35308 330.02 35.132 1.039605771E+00 1.382966677E+00 6.198520506E-09 1.000000000E+20 9.038761479E-01 3.276372244E-02 
0D55 35394 330.02 35.132 1.039102556E+00 1.378044626E+00 6.150990231E-09 1.000000000E+20 9.040952528E-01 3.378089873E-02 
0D56 35512 330.01 35.133 1.037746810E+00 1.373651088E+00 6.046033593E-09 1.000000000E+20 9.045560050E-01 4.504106604E-02 
0D57 35632 330.01 35.133 1.039357741E+00 1.361682392E+00 6.107698957E-09 1.000000000E+20 9.042671689E-01 4.106629496E-02 
0D58 35784 330.02 35.132 1.037277922E+00 1.363367573E+00 5.945679450E-09 1.000000000E+20 9.050615639E-01 2.873100481E-02 
0D59 35902 330.02 35.132 1.037845511E+00 1.353207383E+00 5.959951553E-09 1.000000000E+20 9.049933198E-01 3.821263325E-02 
0D60 35994 330 35.134 1.038863868E+00 1.348469641E+00 6.000197313E-09 1.000000000E+20 9.047434725E-01 3.428371961E-02 
0D61 36140 330.01 35.133 1.038204198E+00 1.355632288E+00 5.949656288E-09 1.000000000E+20 9.050133828E-01 2.008149682E-02 
0D62 36236 330.02 35.132 1.034972031E+00 1.381678780E+00 5.744969686E-09 1.000000000E+20 9.060390305E-01 6.008395668E-02 
0D63 36360 330.01 35.133 1.035723177E+00 1.357780197E+00 5.764648910E-09 1.000000000E+20 9.059125177E-01 1.183484736E-01 
0D64 36506 330.02 35.132 1.038748961E+00 1.339344970E+00 5.940227785E-09 1.000000000E+20 9.050876751E-01 6.138668827E-02 
0D65 36602 330.01 35.133 1.039234532E+00 1.339947543E+00 5.947115726E-09 1.000000000E+20 9.050255396E-01 3.597870397E-02 
0D66 36722 330.01 35.133 1.035833695E+00 1.355680750E+00 5.729237943E-09 1.000000000E+20 9.060879010E-01 5.431903035E-02 
0D67 36854 330.02 35.132 1.036016739E+00 1.354363667E+00 5.730530157E-09 1.000000000E+20 9.061106631E-01 7.926270701E-02 
0D69 37264 329.23 35.216 1.031720526E+00 1.331214984E+00 4.821876685E-09 1.000000000E+20 9.087079469E-01 5.222416797E-02 
0D70 37422 330.06 35.128 1.032267003E+00 1.332840491E+00 5.550274970E-09 1.000000000E+20 9.071372319E-01 3.989139973E-02 
0D71 37540 330.38 35.094 1.037384301E+00 1.300030956E+00 6.047037042E-09 1.000000000E+20 9.056293053E-01 5.429093470E-02 
0D72 37692 330.11 35.122 1.036859027E+00 1.299565162E+00 5.780920916E-09 1.000000000E+20 9.061240256E-01 2.428562992E-02 
0D73 37782 330.04 35.13 1.038002381E+00 1.292336706E+00 5.810176390E-09 1.000000000E+20 9.057761136E-01 4.609688111E-02 
0D74 37906 330.06 35.128 1.037448692E+00 1.296162217E+00 5.788066122E-09 1.000000000E+20 9.059429912E-01 3.102019340E-01 
0D75 38034 330.08 35.125 1.038747794E+00 1.289138627E+00 5.874437700E-09 1.000000000E+20 9.055796450E-01 3.763755403E-02 
0D76 38138 330.05 35.129 1.037619761E+00 1.292034862E+00 5.769037215E-09 1.000000000E+20 9.060075604E-01 2.595531680E-02 
0D77 38286 330.03 35.131 1.034703323E+00 1.311375529E+00 5.588618845E-09 1.000000000E+20 9.068536312E-01 6.349340098E-02 
0D78 38408 330.03 35.131 1.036618318E+00 1.298984696E+00 5.692730498E-09 1.000000000E+20 9.063282275E-01 7.689417530E-02 
0D79 38496 330.02 35.132 1.034808938E+00 1.306218353E+00 5.579033067E-09 1.000000000E+20 9.068732930E-01 7.173549671E-02 
0D80 38628 330.03 35.131 1.036137443E+00 1.297144411E+00 5.663046700E-09 1.000000000E+20 9.064770423E-01 4.342894506E-02 
0D81 38756 330.02 35.132 1.036814786E+00 1.302860955E+00 5.700525678E-09 1.000000000E+20 9.062600905E-01 4.177235781E-02 
0D82 38860 330.02 35.132 1.037103284E+00 1.292617109E+00 5.705584232E-09 1.000000000E+20 9.062348430E-01 7.723905730E-02 
0D83 39006 330.01 35.133 1.034593458E+00 1.304984338E+00 5.547355717E-09 1.000000000E+20 9.070061622E-01 6.178293435E-02 
0D84 39126 330.02 35.132 1.033328798E+00 1.326670911E+00 5.489941970E-09 1.000000000E+20 9.073315041E-01 1.299627682E-01 
0D85 39230 330.02 35.132 1.033068574E+00 1.328518941E+00 5.482425324E-09 1.000000000E+20 9.073705031E-01 2.160301400E-01 
0D86 39366 330.01 35.133 1.024665878E+00 1.371765026E+00 4.969879981E-09 1.000000000E+20 9.101350165E-01 2.407440243E-01 
0D87 39494 330.02 35.132 1.032607192E+00 1.328762421E+00 5.450813447E-09 1.000000000E+20 9.075351039E-01 6.800676382E-02 
0D88 39586 330.01 35.133 1.033274592E+00 1.312596932E+00 5.497829413E-09 1.000000000E+20 9.072614217E-01 7.759780621E-02 
0D89 39704 330.02 35.132 1.033107464E+00 1.319870980E+00 5.480927462E-09 1.000000000E+20 9.073782809E-01 3.277800129E-02 
0D90 39838 330.01 35.133 1.031994368E+00 1.341527108E+00 5.427417303E-09 1.000000000E+20 9.076283138E-01 3.365439950E-02 
0D91 39972 330.01 35.133 1.032360532E+00 1.336291606E+00 5.446882654E-09 1.000000000E+20 9.075264130E-01 3.301535684E-02 
0D92 40088 330.01 35.133 1.032826065E+00 1.318740200E+00 5.456517890E-09 1.000000000E+20 9.074761074E-01 9.653520969E-02 
0D93 40214 330.01 35.133 1.021313877E+00 1.383561903E+00 4.768214060E-09 1.000000000E+20 9.113140791E-01 6.275636579E-02 
0D94 40322 330.01 35.133 1.018037156E+00 1.403702492E+00 4.607063368E-09 1.000000000E+20 9.122926831E-01 3.093863020E-01 
0D95 40442 330.02 35.132 1.027324401E+00 1.348016377E+00 5.162208805E-09 1.000000000E+20 9.090835664E-01 6.987733561E-02 
0D96 40570 330.01 35.133 1.028500957E+00 1.347955107E+00 5.200956648E-09 1.000000000E+20 9.088414453E-01 3.319335112E-01 
0D97 40690 330.02 35.132 1.021849247E+00 1.395693750E+00 4.837223749E-09 1.000000000E+20 9.109344128E-01 3.135398531E-01 
0D98 40810 330.01 35.133 1.022751036E+00 1.403025930E+00 4.925941962E-09 1.000000000E+20 9.103877761E-01 1.831994240E-01 
0D99 40924 330.01 35.133 1.025822200E+00 1.373584400E+00 5.070951983E-09 1.000000000E+20 9.095619671E-01 3.937280621E-01 
D100 41022 330.02 35.132 1.033076350E+00 1.323046748E+00 5.517600578E-09 1.000000000E+20 9.071884599E-01 3.728051566E-02 
D101 41180 330.01 35.133 1.033374698E+00 1.333374161E+00 5.531125564E-09 1.000000000E+20 9.070895608E-01 9.401755657E-02 
