X Y Yfit
4.419E-1 4.025E-7 4.404E-1 4.025E-7
4.617E-1 6.037E-7 4.594E-1 6.037E-7
4.827E-1 1.056E-6 4.860E-1 1.056E-6
5.024E-1 1.560E-6 5.050E-1 1.560E-6
5.530E-1 4.125E-6 5.559E-1 4.125E-6
6.032E-1 8.753E-6 6.024E-1 8.753E-6
6.536E-1 1.635E-5 6.514E-1 1.635E-5
7.046E-1 2.671E-5 7.023E-1 2.671E-5
7.547E-1 3.914E-5 7.549E-1 3.914E-5
8.053E-1 5.222E-5 8.060E-1 5.222E-5
8.557E-1 6.615E-5 8.581E-1 6.615E-5
9.060E-1 7.984E-5 9.081E-1 7.984E-5
9.565E-1 9.342E-5 9.571E-1 9.342E-5
1.006E+0 1.063E-4 1.003E+0 1.063E-4
