X Y Yfit
3.006E-1 3.018E-7 3.321E-1 3.018E-7
3.106E-1 4.025E-7 3.345E-1 4.025E-7
3.213E-1 4.528E-7 3.358E-1 4.528E-7
3.312E-1 6.540E-7 3.406E-1 6.540E-7
3.408E-1 7.546E-7 3.429E-1 7.546E-7
3.510E-1 1.006E-6 3.488E-1 1.006E-6
3.604E-1 1.258E-6 3.544E-1 1.258E-6
3.719E-1 1.509E-6 3.599E-1 1.509E-6
3.817E-1 1.861E-6 3.673E-1 1.861E-6
3.917E-1 2.314E-6 3.763E-1 2.314E-6
4.012E-1 2.717E-6 3.839E-1 2.717E-6
4.209E-1 3.974E-6 4.052E-1 3.974E-6
4.421E-1 5.785E-6 4.304E-1 5.785E-6
4.617E-1 8.099E-6 4.555E-1 8.099E-6
4.828E-1 1.132E-5 4.818E-1 1.132E-5
5.026E-1 1.554E-5 5.072E-1 1.554E-5
5.528E-1 3.119E-5 5.636E-1 3.119E-5
6.033E-1 5.554E-5 6.124E-1 5.554E-5
6.538E-1 9.156E-5 6.593E-1 9.156E-5
7.044E-1 1.388E-4 7.050E-1 1.388E-4
7.547E-1 1.969E-4 7.517E-1 1.969E-4
8.052E-1 2.663E-4 8.016E-1 2.663E-4
8.557E-1 3.409E-4 8.519E-1 3.409E-4
9.062E-1 4.228E-4 9.053E-1 4.228E-4
9.567E-1 5.057E-4 9.581E-1 5.057E-4
1.006E+0 5.860E-4 1.008E+0 5.860E-4
