N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.778E+15 287 3.800E-4 2.921933E-1 2.806970E+1 4.785710E-1 8.029390E+1 2.927888E-1 2.815590E+1 4.789130E-1 8.031910E+1 2.0338893E-01 3.0615253E-01 7.1411718E-02 3.1374854E-02
1.468000E+10 1.778E+15 287 3.800E-4 2.913496E-1 2.795510E+1 4.781020E-1 8.027630E+1 2.922684E-1 2.808470E+1 4.785930E-1 8.031240E+1 3.1436857E-01 4.6146122E-01 1.0259239E-01 4.4949472E-02
2.154000E+10 1.778E+15 287 3.800E-4 2.901369E-1 2.779120E+1 4.774350E-1 8.025120E+1 2.915146E-1 2.798190E+1 4.781350E-1 8.030230E+1 4.7260069E-01 6.8151198E-01 1.4640217E-01 6.3634541E-02
3.162000E+10 1.778E+15 287 3.800E-4 2.884097E-1 2.755950E+1 4.765010E-1 8.021550E+1 2.904290E-1 2.783470E+1 4.774880E-1 8.028720E+1 6.9528181E-01 9.8869397E-01 2.0670677E-01 8.9304397E-02
4.642000E+10 1.778E+15 287 3.800E-4 2.859814E-1 2.722010E+1 4.752170E-1 8.011630E+1 2.888789E-1 2.762600E+1 4.765860E-1 8.026410E+1 1.0030155E+00 1.4692681E+00 2.8725141E-01 1.8414210E-01
6.813000E+10 1.778E+15 287 3.800E-4 2.826286E-1 2.678190E+1 4.734950E-1 8.005170E+1 2.866917E-1 2.731740E+1 4.753570E-1 8.017980E+1 1.4172367E+00 1.9602890E+00 3.9170560E-01 1.5976593E-01
1.000000E+11 1.778E+15 287 3.800E-4 2.781100E-1 2.620360E+1 4.712580E-1 7.997360E+1 2.836564E-1 2.691830E+1 4.737240E-1 8.012900E+1 1.9553234E+00 2.6550711E+00 5.2055627E-01 1.9393728E-01
1.468000E+11 1.778E+15 287 3.800E-4 2.722086E-1 2.546530E+1 4.683680E-1 7.989520E+1 2.795373E-1 2.638780E+1 4.716220E-1 8.006280E+1 2.6217253E+00 3.4959337E+00 6.8995933E-01 2.0933567E-01
2.154000E+11 1.778E+15 287 3.800E-4 2.647928E-1 2.454240E+1 4.648830E-1 7.974960E+1 2.741087E-1 2.570450E+1 4.689410E-1 7.998880E+1 3.3986152E+00 4.5209983E+00 8.6535406E-01 2.9904187E-01
3.162000E+11 1.778E+15 287 3.800E-4 2.558757E-1 2.348090E+1 4.609770E-1 7.962810E+1 2.672095E-1 2.485560E+1 4.656580E-1 7.990340E+1 4.2415408E+00 5.5307456E+00 1.0052442E+00 3.4454103E-01
4.642000E+11 1.778E+15 287 3.800E-4 2.456302E-1 2.229420E+1 4.565650E-1 7.951840E+1 2.588046E-1 2.383110E+1 4.619690E-1 7.972970E+1 5.0904814E+00 6.4491358E+00 1.1697755E+00 2.6502044E-01
6.813000E+11 1.778E+15 287 3.800E-4 2.343295E-1 2.100020E+1 4.519500E-1 7.931740E+1 2.490153E-1 2.268930E+1 4.578130E-1 7.961020E+1 5.8975493E+00 7.4444782E+00 1.2806539E+00 3.6779207E-01
1.000000E+12 1.778E+15 287 3.800E-4 2.222378E-1 1.966480E+1 4.470340E-1 7.917570E+1 2.380855E-1 2.142890E+1 4.533480E-1 7.941380E+1 6.6563062E+00 8.2323404E+00 1.3927491E+00 2.9982195E-01
1.468000E+12 1.778E+15 287 3.800E-4 2.095250E-1 1.827470E+1 4.419360E-1 7.894350E+1 2.262858E-1 2.011580E+1 4.486590E-1 7.925480E+1 7.4069164E+00 9.1525070E+00 1.4984654E+00 3.9278378E-01
2.154000E+12 1.778E+15 287 3.800E-4 1.962657E-1 1.686980E+1 4.364960E-1 7.876760E+1 2.138164E-1 1.874370E+1 4.436630E-1 7.903550E+1 8.2083039E+00 9.9974925E+00 1.6154153E+00 3.3896161E-01
3.162000E+12 1.778E+15 287 3.800E-4 1.825112E-1 1.542870E+1 4.308290E-1 7.848650E+1 2.007776E-1 1.735060E+1 4.384490E-1 7.883920E+1 9.0978276E+00 1.1076850E+01 1.7379444E+00 4.4736628E-01
4.642000E+12 1.778E+15 287 3.800E-4 1.683642E-1 1.399060E+1 4.246910E-1 7.826660E+1 1.872204E-1 1.591970E+1 4.328790E-1 7.857320E+1 1.0071659E+01 1.2117691E+01 1.8915216E+00 3.9020938E-01
6.813000E+12 1.778E+15 287 3.800E-4 1.540045E-1 1.255030E+1 4.182820E-1 7.793140E+1 1.732252E-1 1.448420E+1 4.269630E-1 7.833450E+1 1.1095787E+01 1.3351790E+01 2.0331973E+00 5.1458808E-01
1.000000E+13 1.778E+15 287 3.800E-4 1.396681E-1 1.114460E+1 4.114960E-1 7.756430E+1 1.589457E-1 1.303870E+1 4.207520E-1 7.798680E+1 1.2128419E+01 1.4526755E+01 2.1998707E+00 5.4175835E-01
1.468000E+13 1.778E+15 287 3.800E-4 1.256086E-1 9.803800E+0 4.042820E-1 7.722390E+1 1.446013E-1 1.162800E+1 4.140510E-1 7.768540E+1 1.3134529E+01 1.5687994E+01 2.3593712E+00 5.9406272E-01
2.154000E+13 1.778E+15 287 3.800E-4 1.120660E-1 8.531400E+0 3.967430E-1 7.675360E+1 1.304418E-1 1.025470E+1 4.070410E-1 7.725560E+1 1.4087355E+01 1.6804977E+01 2.5299663E+00 6.4979108E-01
3.162000E+13 1.778E+15 287 3.800E-4 9.924650E-2 7.352700E+0 3.888580E-1 7.620770E+1 1.167133E-1 8.951500E+0 3.997190E-1 7.675040E+1 1.4965561E+01 1.7860694E+01 2.7171588E+00 7.0709729E-01
4.642000E+13 1.778E+15 287 3.800E-4 8.731013E-2 6.278300E+0 3.805420E-1 7.558450E+1 1.036346E-1 7.736600E+0 3.919110E-1 7.619380E+1 1.5751950E+01 1.8849365E+01 2.9009137E+00 7.9967136E-01
6.813000E+13 1.778E+15 287 3.800E-4 7.636656E-2 5.317000E+0 3.717080E-1 7.492400E+1 9.138187E-2 6.626300E+0 3.837050E-1 7.559140E+1 1.6431388E+01 1.9759142E+01 3.1266207E+00 8.8290467E-01
1.000000E+14 1.778E+15 287 3.800E-4 6.647599E-2 4.460400E+0 3.623430E-1 7.407190E+1 8.008199E-2 5.617200E+0 3.750800E-1 7.480360E+1 1.6990087E+01 2.0593890E+01 3.3958089E+00 9.7816148E-01
1.000000E+10 1.778E+15 292 3.800E-4 2.922423E-1 2.704960E+1 4.650290E-1 7.961570E+1 2.929149E-1 2.714280E+1 4.653850E-1 7.964550E+1 2.2962301E-01 3.4336914E-01 7.6495805E-02 3.7415799E-02
1.468000E+10 1.778E+15 292 3.800E-4 2.913976E-1 2.693670E+1 4.645600E-1 7.959350E+1 2.924056E-1 2.707390E+1 4.650720E-1 7.963560E+1 3.4472664E-01 5.0676112E-01 1.1009048E-01 5.2865804E-02
2.154000E+10 1.778E+15 292 3.800E-4 2.901833E-1 2.677560E+1 4.638930E-1 7.956300E+1 2.916677E-1 2.697480E+1 4.646230E-1 7.962130E+1 5.0893534E-01 7.3846701E-01 1.5711663E-01 7.3221613E-02
3.162000E+10 1.778E+15 292 3.800E-4 2.884540E-1 2.654860E+1 4.629550E-1 7.952190E+1 2.906046E-1 2.683290E+1 4.639880E-1 7.960110E+1 7.4004334E-01 1.0595202E+00 2.2263507E-01 9.9496112E-02
4.642000E+10 1.778E+15 292 3.800E-4 2.860231E-1 2.623350E+1 4.616620E-1 7.946810E+1 2.890857E-1 2.663210E+1 4.631010E-1 7.957270E+1 1.0594090E+00 1.4966901E+00 3.1073135E-01 1.3145212E-01
6.813000E+10 1.778E+15 292 3.800E-4 2.826671E-1 2.580560E+1 4.599150E-1 7.940040E+1 2.869409E-1 2.635220E+1 4.618860E-1 7.953350E+1 1.4894356E+00 2.0742101E+00 4.2672867E-01 1.6735086E-01
1.000000E+11 1.778E+15 292 3.800E-4 2.781449E-1 2.523960E+1 4.575190E-1 7.933470E+1 2.839609E-1 2.596930E+1 4.602630E-1 7.947990E+1 2.0481693E+00 2.8098563E+00 5.9618088E-01 1.8268770E-01
1.468000E+11 1.778E+15 292 3.800E-4 2.722400E-1 2.450000E+1 4.545690E-1 7.919080E+1 2.799111E-1 2.545860E+1 4.580440E-1 7.942680E+1 2.7405487E+00 3.7653288E+00 7.5866074E-01 2.9712893E-01
2.154000E+11 1.778E+15 292 3.800E-4 2.648216E-1 2.361580E+1 4.510900E-1 7.907640E+1 2.745635E-1 2.478210E+1 4.552960E-1 7.929800E+1 3.5481410E+00 4.7062194E+00 9.2379463E-01 2.7945219E-01
3.162000E+11 1.778E+15 292 3.800E-4 2.559033E-1 2.258300E+1 4.469990E-1 7.896960E+1 2.677518E-1 2.396110E+1 4.520500E-1 7.918620E+1 4.4251803E+00 5.7514054E+00 1.1173543E+00 2.7353251E-01
4.642000E+11 1.778E+15 292 3.800E-4 2.456582E-1 2.141150E+1 4.425710E-1 7.877590E+1 2.594321E-1 2.298840E+1 4.482520E-1 7.907230E+1 5.3092505E+00 6.8595466E+00 1.2673675E+00 3.7484682E-01
6.813000E+11 1.778E+15 292 3.800E-4 2.343596E-1 2.017110E+1 4.378270E-1 7.863320E+1 2.497174E-1 2.186680E+1 4.440140E-1 7.888620E+1 6.1500720E+00 7.7546783E+00 1.3934245E+00 3.2071516E-01
1.000000E+12 1.778E+15 292 3.800E-4 2.222709E-1 1.886000E+1 4.328480E-1 7.841250E+1 2.388467E-1 2.066110E+1 4.395340E-1 7.872320E+1 6.9399326E+00 8.7173481E+00 1.5211565E+00 3.9467400E-01
1.468000E+12 1.778E+15 292 3.800E-4 2.095613E-1 1.752720E+1 4.276210E-1 7.823570E+1 2.270926E-1 1.938900E+1 4.346640E-1 7.857040E+1 7.7198905E+00 9.6023518E+00 1.6203320E+00 4.2598739E-01
2.154000E+12 1.778E+15 292 3.800E-4 1.963051E-1 1.615360E+1 4.221320E-1 7.797400E+1 2.146611E-1 1.805920E+1 4.296820E-1 7.831750E+1 8.5511534E+00 1.0551962E+01 1.7571134E+00 4.3859929E-01
3.162000E+12 1.778E+15 292 3.800E-4 1.825533E-1 1.477250E+1 4.162680E-1 7.775950E+1 2.016571E-1 1.671210E+1 4.242850E-1 7.813050E+1 9.4734081E+00 1.1605962E+01 1.8895318E+00 4.7484657E-01
4.642000E+12 1.778E+15 292 3.800E-4 1.684081E-1 1.337110E+1 4.101580E-1 7.743080E+1 1.881315E-1 1.532760E+1 4.186760E-1 7.783840E+1 1.0483837E+01 1.2764555E+01 2.0345088E+00 5.2364900E-01
6.813000E+12 1.778E+15 292 3.800E-4 1.540493E-1 1.199180E+1 4.035350E-1 7.716220E+1 1.741604E-1 1.393010E+1 4.126620E-1 7.753030E+1 1.1547459E+01 1.3914473E+01 2.2117375E+00 4.7478212E-01
1.000000E+13 1.778E+15 292 3.800E-4 1.397125E-1 1.063560E+1 3.966010E-1 7.677760E+1 1.598925E-1 1.254400E+1 4.062700E-1 7.724210E+1 1.2620980E+01 1.5213648E+01 2.3799444E+00 6.0135600E-01
1.468000E+13 1.778E+15 292 3.800E-4 1.256516E-1 9.335900E+0 3.893580E-1 7.633110E+1 1.455436E-1 1.117080E+1 3.995890E-1 7.683130E+1 1.3667382E+01 1.6425860E+01 2.5603808E+00 6.5103675E-01
2.154000E+13 1.778E+15 292 3.800E-4 1.121065E-1 8.119500E+0 3.816620E-1 7.590700E+1 1.313628E-1 9.852900E+0 3.924210E-1 7.645380E+1 1.4658868E+01 1.7592790E+01 2.7416983E+00 7.1520317E-01
3.162000E+13 1.778E+15 292 3.800E-4 9.928352E-2 6.986800E+0 3.735580E-1 7.535370E+1 1.175975E-1 8.593700E+0 3.848800E-1 7.594800E+1 1.5573443E+01 1.8698582E+01 2.9416961E+00 7.8250909E-01
4.642000E+13 1.778E+15 292 3.800E-4 8.734291E-2 5.954800E+0 3.650510E-1 7.470410E+1 1.044687E-1 7.418700E+0 3.769820E-1 7.534940E+1 1.6393226E+01 1.9732568E+01 3.1648726E+00 8.5641027E-01
6.813000E+13 1.778E+15 292 3.800E-4 7.639456E-2 5.028600E+0 3.560800E-1 7.394320E+1 9.215591E-2 6.340700E+0 3.686930E-1 7.464660E+1 1.7102918E+01 2.0693299E+01 3.4210034E+00 9.4230682E-01
1.000000E+14 1.778E+15 292 3.800E-4 6.649883E-2 4.208500E+0 3.465470E-1 7.304890E+1 8.078929E-2 5.366900E+0 3.599590E-1 7.382040E+1 1.7688557E+01 2.1584155E+01 3.7259799E+00 1.0451041E+00
1.000000E+10 1.778E+15 297 3.800E-4 2.922849E-1 2.604900E+1 4.515400E-1 7.894940E+1 2.930434E-1 2.614890E+1 4.519210E-1 7.898050E+1 2.5883538E-01 3.8204284E-01 8.4306770E-02 3.9376808E-02
1.468000E+10 1.778E+15 297 3.800E-4 2.914395E-1 2.593870E+1 4.510650E-1 7.892610E+1 2.925505E-1 2.608380E+1 4.516150E-1 7.897020E+1 3.7976349E-01 5.5628398E-01 1.2178515E-01 5.5843850E-02
2.154000E+10 1.778E+15 297 3.800E-4 2.902242E-1 2.578120E+1 4.503880E-1 7.889380E+1 2.918360E-1 2.598990E+1 4.511750E-1 7.895530E+1 5.5229650E-01 8.0300424E-01 1.7443342E-01 7.7892174E-02
3.162000E+10 1.778E+15 297 3.800E-4 2.884936E-1 2.555890E+1 4.494010E-1 7.885580E+1 2.908060E-1 2.585540E+1 4.505510E-1 7.893400E+1 7.9516929E-01 1.1467624E+00 2.5524302E-01 9.9070109E-02
