T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.194269265E+00 1.197637162E+00 1.200655852E+00 1.207149649E+00 1.211657598E+00 1.211869944E+00 1.211867853E+00 1.218002276E+00 1.231216695E+00
295 1.194376866E+00 1.198660006E+00 1.202371913E+00 1.208621594E+00 1.213963072E+00 1.214763436E+00 1.214856517E+00 1.220643097E+00 1.233513547E+00
300 1.193939520E+00 1.200082238E+00 1.204097973E+00 1.210770434E+00 1.216535324E+00 1.217649115E+00 1.217378761E+00 1.222718699E+00 1.235574871E+00
305 1.190982181E+00 1.201203175E+00 1.206152398E+00 1.213082228E+00 1.218557282E+00 1.220027282E+00 1.220046892E+00 1.224872580E+00 1.236671188E+00
310 1.181472129E+00 1.201085410E+00 1.208036036E+00 1.215143330E+00 1.220965427E+00 1.222463504E+00 1.222352264E+00 1.226570895E+00 1.237121044E+00
315 1.155721793E+00 1.197515804E+00 1.208934060E+00 1.216726383E+00 1.222984972E+00 1.224564514E+00 1.223452344E+00 1.226590274E+00 1.236479023E+00
320 1.096509647E+00 1.186176421E+00 1.208431782E+00 1.217813458E+00 1.224121771E+00 1.225525240E+00 1.224616095E+00 1.226468017E+00 1.233360417E+00
325 1.013585268E+00 1.156896795E+00 1.204114506E+00 1.218411388E+00 1.225003554E+00 1.226246727E+00 1.224672645E+00 1.225068618E+00 1.229693911E+00
330 1.014656496E+00 1.093773144E+00 1.191172725E+00 1.216325645E+00 1.225027366E+00 1.226136531E+00 1.222807412E+00 1.221312401E+00 1.225077677E+00
335 1.017888031E+00 1.010103641E+00 1.161187826E+00 1.210524624E+00 1.223091201E+00 1.224215416E+00 1.220806692E+00 1.217794766E+00 1.218508084E+00
340 1.023996987E+00 1.010970578E+00 1.099590034E+00 1.196679124E+00 1.219733925E+00 1.221971621E+00 1.217777505E+00 1.212888930E+00 1.211064711E+00
