N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.195490693E+00 1.195519411E+00 1.195021903E+00 1.192262586E+00 1.183475733E+00 1.159576736E+00 1.104170433E+00 1.014079955E+00 1.014973433E+00 1.018012787E+00 1.023920130E+00
1.600000000E+01 1.215714092E+00 1.217707639E+00 1.220110441E+00 1.222147196E+00 1.224705302E+00 1.227008266E+00 1.228593856E+00 1.230014776E+00 1.230696975E+00 1.229597206E+00 1.227194659E+00
1.700000000E+01 1.245066165E+00 1.247284325E+00 1.249982219E+00 1.252556186E+00 1.255052112E+00 1.257047521E+00 1.257888369E+00 1.258161335E+00 1.257443529E+00 1.254703651E+00 1.251264647E+00
1.549996187E+01 1.202887751E+00 1.204386730E+00 1.205978746E+00 1.207960122E+00 1.209876831E+00 1.210925936E+00 1.210760754E+00 1.207136511E+00 1.195644416E+00 1.168473217E+00 1.111620127E+00
1.649996187E+01 1.219609205E+00 1.222262574E+00 1.224857317E+00 1.227863140E+00 1.230807877E+00 1.232976803E+00 1.235349422E+00 1.236818086E+00 1.236750848E+00 1.236477073E+00 1.235224626E+00
1.674996808E+01 1.228757386E+00 1.231082115E+00 1.233486876E+00 1.236380187E+00 1.239281605E+00 1.241137207E+00 1.243044597E+00 1.243956105E+00 1.243220210E+00 1.242215031E+00 1.240005063E+00
1.624993176E+01 1.217374973E+00 1.219951354E+00 1.222739993E+00 1.225280950E+00 1.228045101E+00 1.230653187E+00 1.232393190E+00 1.234002790E+00 1.234898734E+00 1.234200923E+00 1.233145266E+00
1.574996808E+01 1.210173762E+00 1.211379998E+00 1.213377720E+00 1.215619021E+00 1.217721400E+00 1.219475331E+00 1.220812072E+00 1.221839353E+00 1.220387592E+00 1.215561263E+00 1.203409866E+00
1.524993176E+01 1.199248596E+00 1.200106576E+00 1.201433851E+00 1.202543979E+00 1.202559722E+00 1.199426711E+00 1.189184451E+00 1.162366351E+00 1.103732891E+00 1.010602106E+00 1.011328197E+00
