X Y Yfit
1.2030000E-1 5.8000000E-8 6.3183065E-8
1.4060000E-1 8.8200000E-8 8.8199956E-8
1.6070000E-1 1.3700000E-7 1.3000435E-7
1.8090000E-1 2.2620000E-7 2.0619659E-7
2.0110000E-1 3.8680000E-7 3.5091629E-7
2.2130000E-1 6.8650000E-7 6.3281157E-7
2.4150000E-1 1.1000000E-6 1.1892732E-6
2.6160000E-1 2.3550000E-6 2.2876099E-6
2.8170000E-1 4.5160000E-6 4.4699620E-6
3.0180000E-1 8.7850000E-6 8.8113687E-6
3.2190000E-1 1.6000000E-5 1.7445787E-5
3.4160000E-1 3.4120000E-5 3.4119997E-5
3.6230000E-1 6.7680000E-5 6.8944555E-5
3.8250000E-1 1.3300000E-4 1.3628762E-4
4.0260000E-1 2.6240000E-4 2.6571704E-4
4.2290000E-1 5.0690000E-4 5.1130591E-4
4.4310000E-1 9.4420000E-4 9.4845468E-4
4.6320000E-1 1.6690000E-3 1.6689880E-3
4.8340000E-1 2.7620000E-3 2.7619992E-3
5.0350000E-1 4.2630000E-3 4.2513756E-3
5.2370000E-1 6.1440000E-3 6.1329220E-3
5.4390000E-1 8.3560000E-3 8.3479902E-3
5.6390000E-1 1.0824000E-2 1.0810062E-2
5.8400000E-1 1.3500000E-2 1.3500006E-2
6.0400000E-1 1.6350000E-2 1.6347275E-2
6.2400000E-1 1.9320000E-2 1.9330849E-2
6.4410000E-1 2.2390000E-2 2.2440255E-2
