fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 rmsre
d72a0Vn1Nt 4.2472113E+13 3.0886563E-1 2.5570659E-2 3.3775502E+12 3.7875737E-1 1.5056192E-2 3.5098227E+15 3.9412823E-1 2.7338948E-4 7.8858166E-1
fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 rmsre
d72c0Vn4Nt 6.1067948E+12 2.8397919E-1 6.7001739E-3 1.9283197E+13 2.9711284E-1 1.2278480E-2 2.9928693E+13 3.1358526E-1 1.8183207E-2 1.2899978E+13 3.6339271E-1 4.4073876E-2 4.9103613E-2
d72c0Vn3Nt 6.0222423E+12 2.8359711E-1 6.6584079E-3 1.9195270E+13 2.9663020E-1 1.2215070E-2 3.0693182E+13 3.1329165E-1 1.8182833E-2 1.2643859E+13 3.6864598E-1 4.3524144E-2 5.4081610E-2
d72c0Vn2Nt 5.9638427E+12 2.8339780E-1 6.6212631E-3 1.8463733E+13 2.9620347E-1 1.2072438E-2 3.0979212E+13 3.1264075E-1 1.7987920E-2 1.2500244E+13 3.6155438E-1 4.1540653E-2 3.8746364E-2
d72c0Vn1Nt 5.9625447E+12 2.8318384E-1 6.6089346E-3 1.8066923E+13 2.9598795E-1 1.2045887E-2 3.1138509E+13 3.1211052E-1 1.7962328E-2 1.2790783E+13 3.6084513E-1 4.1428504E-2 4.9393638E-2
d72b0Vn2Nt 4.2094536E+15 2.8194423E-1 2.8303060E-4 9.1843217E+12 2.8775930E-1 9.3407418E-3 3.3825005E+13 3.0515147E-1 1.7491706E-2 3.8466111E+13 3.7048186E-1 3.0901491E-2 4.5744303E-2
d72b0Vn1Nt 7.5297095E+15 2.7925765E-1 2.8032035E-4 7.5297095E+15 2.8466317E-1 2.8633418E-4 3.5145478E+13 2.9836742E-1 1.6647908E-2 5.1464320E+13 3.6656399E-1 4.3289665E-2 8.2645061E-2
d72a0Vn1Nt 8.6450332E+14 2.8333804E-1 3.0743086E-4 6.6520744E+15 2.8873538E-1 2.7249818E-4 4.1484969E+13 3.0963556E-1 2.5129839E-2 3.5421786E+12 3.7971916E-1 1.5268371E-2 9.2601936E-1
fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 A5 X05 Sig5 rmsre
d72c0Vn4Nt 1.7373661E+12 2.8130442E-1 4.2234400E-3 7.0382352E+12 2.8815172E-1 8.1620644E-3 3.5314524E+13 3.0219705E-1 1.5111859E-2 1.2929071E+13 3.2552983E-1 1.6888134E-2 1.1216085E+13 3.7129474E-1 4.1739943E-2 4.3563233E-2
d72c0Vn3Nt 5.6697075E+12 2.8337563E-1 6.5099467E-3 1.7820344E+13 2.9587134E-1 1.1906542E-2 3.1720005E+13 3.1230081E-1 1.7863439E-2 1.1773204E+13 3.5950727E-1 3.8526829E-2 4.7226023E+11 3.9871920E-1 5.7041952E-3 3.1522091E-2
d72c0Vn2Nt 5.7439881E+12 2.8321042E-1 6.5219105E-3 1.7375698E+13 2.9561286E-1 1.1809820E-2 3.2027563E+13 3.1185846E-1 1.7769283E-2 1.0348404E+13 3.5388104E-1 3.5290770E-2 1.8246583E+14 6.7001850E-1 1.0737894E-1 4.0201718E-2
d72c0Vn1Nt 5.1652375E+15 2.7894735E-1 2.7760349E-4 5.7474382E+12 2.8406572E-1 6.6779092E-3 1.7234673E+13 2.9644155E-1 1.2271500E-2 3.1334544E+13 3.1155434E-1 1.8365188E-2 1.3842634E+13 3.5858670E-1 4.5408928E-2 5.0484237E-2
d72b0Vn2Nt 8.6440807E+11 2.7940488E-1 9.0742448E-4 2.2836006E+15 2.8466432E-1 3.0826368E-4 7.5457398E+15 2.9008690E-1 2.8532308E-4 3.9101101E+13 3.0021331E-1 1.7631010E-2 4.1968212E+13 3.6846120E-1 3.3999909E-2 6.5355257E-2
d72b0Vn1Nt 7.4984115E+15 2.7924081E-1 2.7516768E-4 6.4119722E+12 2.8632387E-1 7.5346760E-3 3.0740235E+13 3.0233128E-1 1.6093106E-2 4.7829677E+13 3.6767671E-1 4.0269734E-2 9.2703467E+14 3.9868607E-1 2.9850741E-4 4.0255584E-2
d72a0Vn1Nt 6.6286118E+15 2.8050662E-1 2.4955241E-4 6.0837459E+13 2.8333726E-1 3.6899813E-4 8.1762761E+14 2.8873277E-1 3.0370257E-4 4.0669276E+13 3.0966776E-1 2.4550150E-2 3.9046893E+12 3.7818949E-1 1.6592628E-2 9.8918116E-1
fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 A5 X05 Sig5 A6 X06 Sig6 rmsre
d72c0Vn4Nt 2.9134720E+12 2.8185736E-1 5.0250960E-3 8.6158579E+12 2.9046569E-1 8.8980664E-3 3.9334217E+13 3.0560821E-1 1.6213375E-2 9.4388041E+12 3.3623450E-1 1.8371957E-2 1.0893083E+12 3.8046085E-1 9.2611538E-3 2.3392711E+13 4.7715178E-1 8.3076344E-2 1.2569634E-2
d72c0Vn3Nt 5.7706712E+12 2.8328019E-1 6.5051212E-3 1.8222277E+13 2.9595258E-1 1.1849355E-2 3.1119430E+13 3.1263815E-1 1.7749683E-2 1.1605086E+13 3.5835495E-1 3.8655825E-2 3.8478821E+11 3.9817242E-1 5.1023087E-3 1.9060266E+14 7.0974501E-1 1.0125605E-1 3.0753239E-2
d72c0Vn3Nt 1.1033960E+16 2.7931545E-1 2.7324764E-4 1.0459616E+16 2.8471645E-1 2.6343022E-4 5.4505912E+12 2.8485302E-1 7.0688209E-3 2.0225304E+13 2.9703625E-1 1.2881365E-2 3.0569942E+13 3.1350794E-1 1.8757337E-2 1.1788736E+13 3.7230987E-1 4.1836712E-2 5.1518215E-2
