fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 A5 X05 Sig5 rmsre
d43b0Vn1Nt 8.8891017E+12 2.8251116E-1 5.7451159E-3 1.5348785E+13 2.9197244E-1 9.5997032E-3 3.0137373E+13 3.0732495E-1 1.6673705E-2 1.2850109E+14 3.8976056E-1 1.7681597E-2 5.2609764E+14 4.0051615E-1 5.1246028E-2 1.2070585E-2
d43b0Vn1Nt 1.3354745E+13 2.8346306E-1 7.3777717E-3 3.6053359E+13 2.9736942E-1 1.4804591E-2 1.0979167E+14 3.3794429E-1 2.7918836E-2 2.8893203E+14 3.9046858E-1 2.1660679E-2 3.8663945E+14 4.5831967E-1 5.5280403E-2 4.0314160E-2
d43b0Vn1Nt 8.6416432E+12 2.8258175E-1 5.6656303E-3 1.5377050E+13 2.9193317E-1 9.5889051E-3 2.8364626E+13 3.0730939E-1 1.6403231E-2 1.3579439E+14 3.8999658E-1 1.7991502E-2 5.1965700E+14 4.0020895E-1 5.2219874E-2 1.2708115E-2
d43b0Vn1Nt 1.3305950E+13 2.8335808E-1 7.2811188E-3 3.4534634E+13 2.9677274E-1 1.4235982E-2 1.0680710E+14 3.3443025E-1 2.6213901E-2 4.0396636E+14 3.9238343E-1 2.3888641E-2 6.0381003E+15 4.9014061E-1 2.3833028E-2 3.3409922E-2
d43b0Vn1Nt 1.3700366E+13 2.8336647E-1 7.4822327E-3 3.6511407E+13 2.9736162E-1 1.4787502E-2 1.1768734E+14 3.3810057E-1 2.7433154E-2 3.7226800E+14 3.9185495E-1 2.2797579E-2 2.6802017E+14 4.5800945E-1 2.5460778E-2 4.2346642E-2
d43s0Vn1Nt 8.4958101E+12 2.8327093E-1 6.5813204E-3 2.8111962E+13 2.9613418E-1 1.2401723E-2 2.9892522E+14 3.3773314E-1 2.2555525E-2 2.6409449E+12 3.7607305E-1 8.0804487E-3 2.7555078E+13 3.9938815E-1 2.8033179E-2 1.1520862E-2
d43s0Vn1Nt 8.3346154E+12 2.8326493E-1 6.5729970E-3 2.8831388E+13 2.9611568E-1 1.2525290E-2 2.8921413E+14 3.3745198E-1 2.2338573E-2 2.2439466E+12 3.7603252E-1 7.7808914E-3 4.0504760E+13 3.9211515E-1 3.8981979E-2 1.1939644E-2
d51a0Vn1Nt 1.4320943E+13 2.8357957E-1 8.9299340E-3 4.0541246E+13 3.0286678E-1 1.5659452E-2 4.9405839E+14 3.6415249E-1 3.0140521E-2 7.3845052E+13 4.2074176E-1 1.4970253E-2 1.7797977E+14 5.0329457E-1 3.1009877E-2 5.2065523E-2
d51a0Vn1Nt 1.4036159E+13 2.8371060E-1 8.9392075E-3 4.8234338E+13 3.0386882E-1 1.6574162E-2 4.3583006E+14 3.6163990E-1 2.8040702E-2 1.4826608E+12 3.7457432E-1 7.7228486E-3 4.0253951E+15 5.4626367E-1 6.1552449E-2 5.3023244E-2
d51a0Vn1Nt 1.4496380E+13 2.8495374E-1 9.3619164E-3 8.1342741E+13 3.1143442E-1 2.0171765E-2 1.0570181E+13 3.4274387E-1 1.1616441E-2 3.3534229E+14 3.6342860E-1 2.4074586E-2 2.4040575E+15 5.4507313E-1 7.8670776E-2 6.3176206E-2
