T d154 d184 d214 d244
d 150 180 210 240
290 1.363694200E-02 1.189197200E-02 1.061796400E-02 9.670010000E-03
295 1.211713600E-02 1.058339700E-02 9.475526000E-03 8.656056000E-03
300 1.086859700E-02 9.556192000E-03 8.627350000E-03 7.954237000E-03
305 9.958148000E-03 8.865452000E-03 8.123820000E-03 7.601881000E-03
310 9.426105000E-03 8.555528000E-03 7.999007000E-03 7.622175000E-03
315 9.300670000E-03 8.646757000E-03 8.263128000E-03 8.021350000E-03
320 9.597455000E-03 9.148324000E-03 8.909994000E-03 8.794895000E-03
325 1.029975000E-02 1.003845100E-02 9.929742000E-03 9.918407000E-03
330 1.138945400E-02 1.129000500E-02 1.127708700E-02 1.134818300E-02
335 1.281014100E-02 1.282456700E-02 1.287112000E-02 1.297137800E-02
340 1.444175200E-02 1.449009000E-02 1.454614500E-02 1.462508400E-02
