N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.184813657E+00 1.180062786E+00 1.175406111E+00 1.170783214E+00
1.600000000E+01 1.218917929E+00 1.215984707E+00 1.213599726E+00 1.210938875E+00
1.700000000E+01 1.222047439E+00 1.217854512E+00 1.214011728E+00 1.211123446E+00
1.549996187E+01 1.207849562E+00 1.205293960E+00 1.203043301E+00 1.200678796E+00
1.649996187E+01 1.217072832E+00 1.213125430E+00 1.210029739E+00 1.207130345E+00
1.674996808E+01 1.217472290E+00 1.213373780E+00 1.209615325E+00 1.206670518E+00
1.624993176E+01 1.219068642E+00 1.215769956E+00 1.213080668E+00 1.210438554E+00
1.574996808E+01 1.214032595E+00 1.211409093E+00 1.209219269E+00 1.206794265E+00
1.524993176E+01 1.202034956E+00 1.199115237E+00 1.196367267E+00 1.193726148E+00
