N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.186920678E+00 1.182278305E+00 1.177903048E+00 1.173714034E+00
1.600000000E+01 1.225782381E+00 1.222847192E+00 1.220641963E+00 1.218523465E+00
1.700000000E+01 1.247710236E+00 1.246437078E+00 1.245293414E+00 1.243384494E+00
1.549996187E+01 1.211798282E+00 1.208992506E+00 1.206661409E+00 1.204331994E+00
1.649996187E+01 1.229459419E+00 1.226451697E+00 1.224582857E+00 1.223063400E+00
1.674996808E+01 1.235044916E+00 1.232862083E+00 1.231113248E+00 1.230204872E+00
1.624993176E+01 1.228160015E+00 1.225194953E+00 1.223094258E+00 1.221213631E+00
1.574996808E+01 1.219326753E+00 1.216477907E+00 1.214258921E+00 1.212123108E+00
1.524993176E+01 1.204898308E+00 1.201814075E+00 1.199040393E+00 1.196484473E+00
