x N
1.4496802E+0 1.1794509E+21
1.4354166E+0 1.1836980E+21
1.4211137E+0 1.1775338E+21
1.4064078E+0 1.1737395E+21
1.3917111E+0 1.1642416E+21
1.3764460E+0 1.1518375E+21
1.3610961E+0 1.1610410E+21
1.3457320E+0 1.1534822E+21
1.3298217E+0 1.1376876E+21
1.3136474E+0 1.1422302E+21
1.2974744E+0 1.1334751E+21
1.2806355E+0 1.1328741E+21
1.2640222E+0 1.1378840E+21
1.2468828E+0 1.1175019E+21
1.2291809E+0 1.1178397E+21
1.2115595E+0 1.1101701E+21
1.1930824E+0 1.0993495E+21
1.1745534E+0 1.1129310E+21
1.1559508E+0 1.1148270E+21
1.1368821E+0 1.1183271E+21
1.1177745E+0 1.1290107E+21
1.0984170E+0 1.1239166E+21
1.0784476E+0 1.1122258E+21
1.0579420E+0 1.1235600E+21
1.0376180E+0 1.1571864E+21
1.0175234E+0 1.1588333E+21
9.9643511E-1 1.1428224E+21
