fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 51056 319.67 36.269 1.000000000E+00 8.547205743E-01 1.987734856E-09 7.573024473E+02 1.835346278E+00 3.702317526E-07 1.629453562E-04 1.212882513E-01 1.583896552E-04 3.878484530E-01 7.450880728E-06 6.212637281E-02 8.088526782E-05 5.811566912E-02 
0L10 51912 319.96 36.236 1.000000000E+00 1.033701859E+00 2.598824588E-09 8.482847279E+02 2.889688610E+00 4.009848866E-06 1.329787129E-04 1.027148632E-01 1.319787129E-04 -1.555582543E-01 -2.108774987E-06 5.255093017E-02 6.899859473E-05 4.255039231E-02 
0L11 52032 319.6 36.277 1.000000000E+00 8.403012846E-01 1.070387428E-09 7.041157313E+02 1.244303177E+00 2.645189868E-08 1.430573165E-04 1.028449318E-01 1.321920792E-04 -1.487059982E-01 -2.021700482E-06 5.251688123E-02 6.928222516E-05 1.123539988E-01 
0L12 52120 319.69 36.267 1.000000000E+00 9.358816763E-01 1.925675216E-09 7.295072147E+02 1.511419769E+00 1.038185208E-07 1.392110284E-04 1.034569279E-01 1.328188119E-04 -1.102297254E-01 -1.514669549E-06 5.292680140E-02 6.946451156E-05 1.132357684E-01 
0L13 52208 319.79 36.256 1.000000000E+00 8.555128007E-01 1.270343202E-09 7.070153841E+02 1.272686064E+00 3.141475777E-08 1.444980947E-04 1.041143581E-01 1.338800000E-04 -9.070857437E-02 -1.264371422E-06 5.321977730E-02 6.992843977E-05 9.154411364E-02 
0L14 52296 319.87 36.247 1.000000000E+00 1.016361824E+00 2.544172446E-09 2.695785988E+17 8.162735849E+00 1.975695691E-04 1.354787129E-04 1.046417677E-01 1.344787129E-04 -6.781327783E-02 -9.542745646E-07 5.335918002E-02 7.020783728E-05 4.771841575E-01 
0L15 52388 319.91 36.242 1.000000000E+00 8.323102828E-01 1.067443995E-09 7.057739790E+02 1.240341011E+00 2.706333497E-08 1.456989869E-04 1.049307076E-01 1.347310345E-04 -5.367676510E-02 -7.588511215E-07 5.349814749E-02 7.056694188E-05 8.750963671E-02 
0L16 52474 319.94 36.239 1.000000000E+00 8.439739139E-01 1.255232810E-09 6.989873358E+02 1.268335525E+00 3.105588134E-08 1.469644203E-04 1.052949205E-01 1.355787129E-04 -2.847128498E-02 -4.064489408E-07 5.378147612E-02 7.053739410E-05 1.018949283E-01 
0L17 52562 319.96 36.236 1.000000000E+00 9.613257377E-01 2.215147524E-09 7.526837271E+02 1.743832990E+00 2.796853256E-07 1.407877979E-04 1.056600164E-01 1.358758621E-04 -1.294491073E-02 -1.858454985E-07 5.396341829E-02 7.072743284E-05 4.556812810E-02 
0L18 52654 319.94 36.239 1.000000000E+00 1.022621898E+00 2.560086058E-09 2.681273230E+17 8.258133355E+00 2.012008781E-04 1.372896552E-04 1.058881552E-01 1.362896552E-04 -6.948247259E-05 -1.002733535E-09 5.410638933E-02 7.091026494E-05 4.178551220E-01 
0L19 52742 319.95 36.238 1.000000000E+00 8.317276168E-01 1.130127711E-09 7.077574206E+02 1.252610196E+00 2.908965494E-08 1.472961444E-04 1.062214104E-01 1.368787129E-04 9.114216217E-03 1.325156903E-07 5.419601526E-02 7.126304764E-05 7.670172982E-02 
00L2 51174 319.73 36.262 1.000000000E+00 6.795995303E-01 9.274738707E-10 7.029653931E+02 1.258793091E+00 2.907102458E-08 1.693651699E-04 1.212028297E-01 1.583758621E-04 3.858093970E-01 7.405843882E-06 6.200184965E-02 8.094486461E-05 1.947072990E-01 
