fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_315 001_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.481515824E-15 1.000000000E+20 1.252009704E+00 1.874317915E-15 2.819977346E-04 
001_315_SRH 001_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.656907646E-15 1.000000000E+20 1.267867816E+00 1.810005870E-15 6.533993875E-04 
002_315 002_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.016045255E-14 1.000000000E+20 1.256914722E+00 2.720011101E-15 3.487813176E-04 
002_315_SRH 002_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.346073560E-15 1.000000000E+20 1.267920983E+00 2.656452071E-15 6.560093305E-04 
003_315 003_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.260041288E-14 1.000000000E+20 1.260412824E+00 3.961481381E-15 4.141324907E-04 
003_315_SRH 003_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.801108169E-15 1.000000000E+20 1.267998168E+00 3.898556393E-15 6.598281462E-04 
004_315 004_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.613072654E-14 1.000000000E+20 1.262910751E+00 5.783391712E-15 4.747211874E-04 
004_315_SRH 004_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.135332884E-14 1.000000000E+20 1.268109612E+00 5.721064916E-15 6.654075683E-04 
005_315 005_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.120615653E-14 1.000000000E+20 1.264722848E+00 8.456467630E-15 5.290550642E-04 
005_315_SRH 005_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.646022506E-14 1.000000000E+20 1.268269391E+00 8.394781079E-15 6.735418167E-04 
006_315 006_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.843707084E-14 1.000000000E+20 1.266087376E+00 1.237738270E-14 5.776908259E-04 
006_315_SRH 006_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.373575230E-14 1.000000000E+20 1.268495982E+00 1.231645658E-14 6.853651331E-04 
007_315 007_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.860916388E-14 1.000000000E+20 1.267184505E+00 1.812698888E-14 6.229251587E-04 
007_315_SRH 007_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.397005685E-14 1.000000000E+20 1.268812742E+00 1.806702602E-14 7.024767243E-04 
008_315 008_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.267336422E-14 1.000000000E+20 1.268151567E+00 2.655528794E-14 6.683421436E-04 
008_315_SRH 008_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.811909359E-14 1.000000000E+20 1.269246503E+00 2.649657516E-14 7.270923644E-04 
009_315 009_315.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.167944824E-14 1.000000000E+20 1.269092393E+00 3.890547448E-14 7.184801205E-04 
009_315_SRH 009_315_srh.dat 315 36.81 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.723744701E-14 1.000000000E+20 1.269824153E+00 3.884837504E-14 7.622079002E-04 
