cprpf1Mn1.dat - 28.3.2024  :49452000
T=294.36 f=1000000 Vm=0.01 Im=50

cprpf1Mn2.dat - 28.3.2024  :49566000
T=294.37 f=1000000 Vm=0.01 Im=50

cprp100fn1.dat - 28.3.2024  :49682000
T=294.38 f=100000 Vm=0.01 Im=50

cprp100fn2.dat - 28.3.2024  :49798000
T=294.39 f=100000 Vm=0.01 Im=50

cprp10fn1.dat - 28.3.2024  :49914000
T=294.40 f=10000 Vm=0.01 Im=50

cprp10fn2.dat - 28.3.2024  :50030000
T=294.40 f=10000 Vm=0.01 Im=50

cprpf1Mn3.dat - 28.3.2024  :50188000
T=294.41 f=1000000 Vm=0.01 Im=50

cprpf1Mn4.dat - 28.3.2024  :50304000
T=294.43 f=1000000 Vm=0.01 Im=50

cprp100fn3.dat - 28.3.2024  :50420000
T=294.43 f=100000 Vm=0.01 Im=50

cprp100fn4.dat - 28.3.2024  :50534000
T=294.44 f=100000 Vm=0.01 Im=50

cprp10fn3.dat - 28.3.2024  :50652000
T=294.44 f=10000 Vm=0.01 Im=50

cprp10fn4.dat - 28.3.2024  :50768000
T=294.45 f=10000 Vm=0.01 Im=50

rzm1V2n1.dat - 28.3.2024  :50978000
T=294.46 f=1000000 Vb=-1.2 Vm=0.01 Im=50

rzm1V1n1.dat - 28.3.2024  :51154000
T=294.47 f=1000000 Vb=-1.1 Vm=0.01 Im=50

rzm1Vn1.dat - 28.3.2024  :51328000
T=294.48 f=1000000 Vb=-1 Vm=0.01 Im=50

rzm0V9n1.dat - 28.3.2024  :51502000
T=294.50 f=1000000 Vb=-0.9 Vm=0.01 Im=50

rzm0V8n1.dat - 28.3.2024  :51678000
T=294.50 f=1000000 Vb=-0.8 Vm=0.01 Im=50

rzm0V7n1.dat - 28.3.2024  :51852000
T=294.52 f=1000000 Vb=-0.7 Vm=0.01 Im=50

rzm0V6n1.dat - 28.3.2024  :52026000
T=294.52 f=1000000 Vb=-0.6 Vm=0.01 Im=50

rzm0V5n1.dat - 28.3.2024  :52202000
T=294.53 f=1000000 Vb=-0.5 Vm=0.01 Im=50

rzm0V4n1.dat - 28.3.2024  :52376000
T=294.54 f=1000000 Vb=-0.4 Vm=0.01 Im=50

rzm0V3n1.dat - 28.3.2024  :52552000
T=294.55 f=1000000 Vb=-0.3 Vm=0.01 Im=50

rzm0V2n1.dat - 28.3.2024  :52726000
T=294.55 f=1000000 Vb=-0.2 Vm=0.01 Im=50

rzm0V1n1.dat - 28.3.2024  :52900000
T=294.56 f=1000000 Vb=-0.1 Vm=0.01 Im=50

rz0Vn1.dat - 28.3.2024  :53072000
T=294.57 f=1000000 Vm=0.01 Im=50

rz0V1n1.dat - 28.3.2024  :53246000
T=294.58 f=1000000 Vb=0.1 Vm=0.01 Im=50

rz0V2n1.dat - 28.3.2024  :53420000
T=294.59 f=1000000 Vb=0.2 Vm=0.01 Im=50

rz0V3n1.dat - 28.3.2024  :53594000
T=294.60 f=1000000 Vb=0.3 Vm=0.01 Im=50

