fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
T01_280 T01_280.dat 280 41.41 1.000E+000 9.483E+000 7.014E-005 1.000E+020 2.581E+000 1.000E-001 2.484E-003 
T02_285 T02_285.dat 285 40.68 1.000E+000 7.626E+000 7.486E-005 1.000E+020 2.138E+000 1.000E-001 1.932E-003 
T03_290 T03_290.dat 290 39.98 1.000E+000 6.500E+000 7.978E-005 1.000E+020 1.712E+000 1.000E-001 1.598E-003 
T04_295 T04_295.dat 295 39.3 1.000E+000 5.767E+000 8.491E-005 1.000E+020 1.417E+000 1.000E-001 1.342E-003 
T05_300 T05_300.dat 300 38.65 1.000E+000 5.217E+000 9.049E-005 1.000E+020 1.219E+000 1.000E-001 1.054E-003 
T06_305 T06_305.dat 305 38.01 1.000E+000 4.663E+000 1.005E-004 1.000E+020 1.024E+000 1.000E-001 1.743E-004 
T07_310 T07_310.dat 310 37.4 1.000E+000 4.421E+000 1.066E-004 1.000E+020 1.016E+000 7.034E-002 2.791E-004 
T08_315 T08_315.dat 315 36.81 1.000E+000 4.374E+000 1.129E-004 1.000E+020 1.010E+000 4.938E-002 5.115E-004 
T09_320 T09_320.dat 320 36.23 1.000E+000 4.112E+000 1.207E-004 1.000E+020 1.002E+000 3.192E-002 6.987E-004 
T10_325 T10_325.dat 325 35.67 1.000E+000 3.811E+000 1.334E-004 1.000E+020 9.914E-001 1.711E-002 8.779E-004 
T11_330 T11_330.dat 330 35.13 1.000E+000 3.491E+000 1.548E-004 1.000E+020 9.830E-001 8.276E-003 1.049E-003 
T12_335 T12_335.dat 335 34.61 1.000E+000 3.189E+000 1.875E-004 1.000E+020 9.783E-001 4.147E-003 1.238E-003 
T13_340 T13_340.dat 340 34.1 1.000E+000 2.895E+000 2.437E-004 1.000E+020 9.751E-001 2.135E-003 1.428E-003 
