fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
T01_280 T01_280.dat 280 41.41 1.000E+000 6.322E+000 3.317E-005 1.000E+020 1.136E+000 9.141E-003 5.703E-003 
T02_285 T02_285.dat 285 40.68 1.000E+000 1.119E+001 3.334E-005 1.000E+020 1.129E+000 8.383E-003 4.378E-003 
T03_290 T03_290.dat 290 39.98 1.000E+000 1.316E+001 3.392E-005 1.000E+020 1.122E+000 7.802E-003 3.295E-003 
T04_295 T04_295.dat 295 39.3 1.000E+000 1.333E+001 3.593E-005 1.000E+020 1.109E+000 7.107E-003 2.390E-003 
T05_300 T05_300.dat 300 38.65 1.000E+000 1.333E+001 3.775E-005 1.000E+020 1.100E+000 6.419E-003 1.727E-003 
T06_305 T06_305.dat 305 38.01 1.000E+000 1.284E+001 4.015E-005 1.000E+020 1.089E+000 5.727E-003 1.259E-003 
T07_310 T07_310.dat 310 37.4 1.000E+000 1.203E+001 4.496E-005 1.000E+020 1.067E+000 4.908E-003 1.082E-003 
T08_315 T08_315.dat 315 36.81 1.000E+000 1.190E+001 4.816E-005 1.000E+020 1.055E+000 4.210E-003 1.209E-003 
T09_320 T09_320.dat 320 36.23 1.000E+000 1.118E+001 5.276E-005 1.000E+020 1.040E+000 3.470E-003 1.493E-003 
T10_325 T10_325.dat 325 35.67 1.000E+000 1.032E+001 6.219E-005 1.000E+020 1.021E+000 2.554E-003 1.901E-003 
T11_330 T11_330.dat 330 35.13 1.000E+000 9.502E+000 7.653E-005 1.000E+020 1.007E+000 1.753E-003 2.399E-003 
T12_335 T12_335.dat 335 34.61 1.000E+000 9.394E+000 8.486E-005 1.000E+020 1.000E+000 1.320E-003 2.961E-003 
T13_340 T13_340.dat 340 34.1 1.000E+000 8.860E+000 7.982E-005 1.000E+020 1.000E+000 1.187E-003 3.832E-003 
