fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
00T1 7:7 295.5 39.24 1.000E+000 2.177E+000 4.376E-011 4.155E+002 2.882E+000 2.639E-006 8.601E-004 
00T2 7:34 299 38.78 1.000E+000 2.200E+000 8.040E-011 4.253E+002 2.886E+000 3.237E-006 9.357E-004 
00T3 7:52 301.1 38.51 1.000E+000 2.152E+000 1.088E-010 4.312E+002 2.746E+000 2.863E-006 7.898E-004 
00T4 8:10 303.4 38.21 1.000E+000 2.177E+000 1.612E-010 4.375E+002 2.759E+000 3.300E-006 3.430E-004 
00T5 8:30 305.5 37.95 1.000E+000 2.170E+000 2.261E-010 4.433E+002 2.726E+000 3.539E-006 3.396E-004 
00T6 8:49 307.6 37.69 1.000E+000 2.185E+000 3.131E-010 4.489E+002 2.717E+000 3.903E-006 5.611E-004 
00T7 9:8 309.7 37.44 1.000E+000 2.223E+000 4.429E-010 4.545E+002 2.691E+000 4.217E-006 5.704E-004 
00T8 9:28 312.6 37.09 1.000E+000 2.206E+000 6.658E-010 4.619E+002 2.615E+000 4.329E-006 1.041E-003 
00T9 9:51 314.9 36.82 1.000E+000 2.262E+000 9.714E-010 4.677E+002 2.640E+000 5.171E-006 6.498E-004 
0T10 10:12 317.6 36.51 1.000E+000 2.221E+000 1.388E-009 4.742E+002 2.564E+000 5.208E-006 1.002E-003 
0T11 10:41 320.2 36.21 1.000E+000 2.194E+000 1.987E-009 4.802E+002 2.515E+000 5.537E-006 1.233E-003 
0T12 11:2 323.1 35.88 1.000E+000 2.199E+000 2.991E-009 4.866E+002 2.483E+000 6.166E-006 1.312E-003 
0T13 11:22 325.8 35.59 1.000E+000 2.230E+000 4.266E-009 4.921E+002 2.447E+000 6.637E-006 2.191E-003 
0T14 11:43 328 35.35 1.000E+000 2.285E+000 5.787E-009 4.964E+002 2.459E+000 7.700E-006 1.457E-003 
0T15 12:6 330.8 35.05 1.000E+000 2.283E+000 8.244E-009 5.015E+002 2.417E+000 8.340E-006 1.219E-003 
