Na T290 T291 T292 T293 T294 T295 T296 T297 T298 T299 T300 T301 T302 T303 T304 T305 T306 T307 T308 T309 T310 T311 T312 T313 T314 T315 T316 T317 T318 T319 T320 T321 T322 T323 T324 T325 T326 T327 T328 T329 T330 T331 T332 T333 T334 T335 T336 T337 T338 T339 T340
T 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340
1.500000000E+1 1.017502384E-6 1.016429591E-6 1.015354630E-6 1.014277495E-6 1.013198184E-6 1.012116692E-6 1.011033016E-6 1.009947152E-6 1.008859096E-6 1.007768844E-6 1.006676392E-6 1.005581736E-6 1.004484873E-6 1.003385797E-6 1.002284504E-6 1.001180992E-6 1.000075254E-6 9.989672870E-7 9.978570864E-7 9.967446478E-7 9.956299666E-7 9.945130383E-7 9.933938582E-7 9.922724217E-7 9.911487241E-7 9.900227607E-7 9.888945266E-7 9.877640168E-7 9.866312266E-7 9.854961510E-7 9.843587848E-7 9.832191230E-7 9.820771604E-7 9.809328919E-7 9.797863121E-7 9.786374159E-7 9.774861977E-7 9.763326521E-7 9.751767738E-7 9.740185570E-7 9.728579963E-7 9.716950859E-7 9.705298201E-7 9.693621932E-7 9.681921993E-7 9.670198325E-7 9.658450868E-7 9.646679562E-7 9.634884347E-7 9.623065161E-7 9.611221941E-7
1.506250000E+1 9.489797979E-7 9.479910727E-7 9.470003535E-7 9.460076370E-7 9.450129200E-7 9.440161990E-7 9.430174707E-7 9.420167317E-7 9.410139786E-7 9.400092077E-7 9.390024156E-7 9.379935986E-7 9.369827531E-7 9.359698754E-7 9.349549618E-7 9.339380085E-7 9.329190116E-7 9.318979672E-7 9.308748715E-7 9.298497205E-7 9.288225101E-7 9.277932363E-7 9.267618949E-7 9.257284819E-7 9.246929929E-7 9.236554237E-7 9.226157701E-7 9.215740277E-7 9.205301919E-7 9.194842585E-7 9.184362229E-7 9.173860806E-7 9.163338269E-7 9.152794571E-7 9.142229667E-7 9.131643507E-7 9.121036045E-7 9.110407232E-7 9.099757018E-7 9.089085353E-7 9.078392189E-7 9.067677473E-7 9.056941155E-7 9.046183183E-7 9.035403505E-7 9.024602068E-7 9.013778818E-7 9.002933702E-7 8.992066664E-7 8.981177652E-7 8.970266607E-7
1.512500000E+1 8.850618508E-7 8.841506471E-7 8.832376104E-7 8.823227378E-7 8.814060263E-7 8.804874731E-7 8.795670751E-7 8.786448292E-7 8.777207324E-7 8.767947815E-7 8.758669734E-7 8.749373049E-7 8.740057726E-7 8.730723734E-7 8.721371038E-7 8.711999605E-7 8.702609401E-7 8.693200391E-7 8.683772541E-7 8.674325814E-7 8.664860174E-7 8.655375586E-7 8.645872013E-7 8.636349418E-7 8.626807762E-7 8.617247008E-7 8.607667118E-7 8.598068052E-7 8.588449771E-7 8.578812236E-7 8.569155406E-7 8.559479240E-7 8.549783697E-7 8.540068736E-7 8.530334314E-7 8.520580389E-7 8.510806919E-7 8.501013858E-7 8.491201165E-7 8.481368793E-7 8.471516699E-7 8.461644838E-7 8.451753162E-7 8.441841626E-7 8.431910183E-7 8.421958786E-7 8.411987387E-7 8.401995938E-7 8.391984390E-7 8.381952694E-7 8.371900800E-7
1.518750000E+1 8.254397080E-7 8.245999873E-7 8.237585815E-7 8.229154881E-7 8.220707044E-7 8.212242279E-7 8.203760558E-7 8.195261854E-7 8.186746140E-7 8.178213388E-7 8.169663570E-7 8.161096657E-7 8.152512620E-7 8.143911430E-7 8.135293057E-7 8.126657471E-7 8.118004642E-7 8.109334538E-7 8.100647129E-7 8.091942382E-7 8.083220267E-7 8.074480749E-7 8.065723798E-7 8.056949378E-7 8.048157458E-7 8.039348002E-7 8.030520977E-7 8.021676348E-7 8.012814079E-7 8.003934136E-7 7.995036481E-7 7.986121079E-7 7.977187894E-7 7.968236887E-7 7.959268021E-7 7.950281258E-7 7.941276561E-7 7.932253889E-7 7.923213203E-7 7.914154465E-7 7.905077633E-7 7.895982668E-7 7.886869528E-7 7.877738172E-7 7.868588558E-7 7.859420644E-7 7.850234387E-7 7.841029744E-7 7.831806671E-7 7.822565125E-7 7.813305060E-7
1.525000000E+1 7.698251910E-7 7.690513830E-7 7.682760258E-7 7.674991172E-7 7.667206548E-7 7.659406362E-7 7.651590593E-7 7.643759214E-7 7.635912202E-7 7.628049531E-7 7.620171178E-7 7.612277116E-7 7.604367319E-7 7.596441762E-7 7.588500418E-7 7.580543260E-7 7.572570261E-7 7.564581393E-7 7.556576630E-7 7.548555941E-7 7.540519300E-7 7.532466676E-7 7.524398042E-7 7.516313366E-7 7.508212620E-7 7.500095773E-7 7.491962794E-7 7.483813653E-7 7.475648317E-7 7.467466755E-7 7.459268936E-7 7.451054826E-7 7.442824393E-7 7.434577603E-7 7.426314424E-7 7.418034820E-7 7.409738758E-7 7.401426204E-7 7.393097120E-7 7.384751474E-7 7.376389228E-7 7.368010346E-7 7.359614792E-7 7.351202529E-7 7.342773519E-7 7.334327724E-7 7.325865107E-7 7.317385628E-7 7.308889249E-7 7.300375930E-7 7.291845632E-7
1.531250000E+1 7.179493997E-7 7.172363659E-7 7.165219079E-7 7.158060235E-7 7.150887107E-7 7.143699675E-7 7.136497918E-7 7.129281813E-7 7.122051339E-7 7.114806475E-7 7.107547198E-7 7.100273485E-7 7.092985313E-7 7.085682659E-7 7.078365500E-7 7.071033812E-7 7.063687570E-7 7.056326750E-7 7.048951328E-7 7.041561277E-7 7.034156574E-7 7.026737191E-7 7.019303103E-7 7.011854284E-7 7.004390707E-7 6.996912344E-7 6.989419169E-7 6.981911154E-7 6.974388270E-7 6.966850490E-7 6.959297785E-7 6.951730126E-7 6.944147484E-7 6.936549828E-7 6.928937129E-7 6.921309357E-7 6.913666481E-7 6.906008470E-7 6.898335293E-7 6.890646917E-7 6.882943312E-7 6.875224444E-7 6.867490281E-7 6.859740789E-7 6.851975936E-7 6.844195688E-7 6.836400010E-7 6.828588868E-7 6.820762226E-7 6.812920051E-7 6.805062306E-7
1.537500000E+1 6.695614250E-7 6.689044258E-7 6.682461169E-7 6.675864968E-7 6.669255634E-7 6.662633150E-7 6.655997497E-7 6.649348656E-7 6.642686608E-7 6.636011333E-7 6.629322812E-7 6.622621024E-7 6.615905948E-7 6.609177565E-7 6.602435853E-7 6.595680792E-7 6.588912359E-7 6.582130533E-7 6.575335291E-7 6.568526612E-7 6.561704473E-7 6.554868851E-7 6.548019722E-7 6.541157064E-7 6.534280851E-7 6.527391062E-7 6.520487670E-7 6.513570651E-7 6.506639981E-7 6.499695634E-7 6.492737584E-7 6.485765806E-7 6.478780274E-7 6.471780960E-7 6.464767839E-7 6.457740883E-7 6.450700066E-7 6.443645358E-7 6.436576733E-7 6.429494161E-7 6.422397616E-7 6.415287066E-7 6.408162484E-7 6.401023839E-7 6.393871103E-7 6.386704244E-7 6.379523232E-7 6.372328037E-7 6.365118627E-7 6.357894970E-7 6.350657036E-7
1.543750000E+1 6.244271488E-7 6.238218121E-7 6.232152713E-7 6.226075246E-7 6.219985707E-7 6.213884078E-7 6.207770342E-7 6.201644483E-7 6.195506484E-7 6.189356327E-7 6.183193994E-7 6.177019469E-7 6.170832733E-7 6.164633767E-7 6.158422553E-7 6.152199072E-7 6.145963305E-7 6.139715232E-7 6.133454835E-7 6.127182092E-7 6.120896985E-7 6.114599492E-7 6.108289593E-7 6.101967267E-7 6.095632493E-7 6.089285249E-7 6.082925514E-7 6.076553266E-7 6.070168482E-7 6.063771140E-7 6.057361217E-7 6.050938691E-7 6.044503537E-7 6.038055733E-7 6.031595254E-7 6.025122076E-7 6.018636176E-7 6.012137527E-7 6.005626106E-7 5.999101887E-7 5.992564844E-7 5.986014952E-7 5.979452185E-7 5.972876516E-7 5.966287918E-7 5.959686365E-7 5.953071830E-7 5.946444284E-7 5.939803700E-7 5.933150051E-7 5.926483307E-7
1.550000000E+1 5.823281223E-7 5.817704156E-7 5.812116015E-7 5.806516788E-7 5.800906459E-7 5.795285016E-7 5.789652441E-7 5.784008722E-7 5.778353843E-7 5.772687788E-7 5.767010542E-7 5.761322089E-7 5.755622412E-7 5.749911497E-7 5.744189326E-7 5.738455882E-7 5.732711149E-7 5.726955109E-7 5.721187744E-7 5.715409039E-7 5.709618973E-7 5.703817530E-7 5.698004690E-7 5.692180436E-7 5.686344748E-7 5.680497607E-7 5.674638995E-7 5.668768891E-7 5.662887275E-7 5.656994129E-7 5.651089430E-7 5.645173159E-7 5.639245296E-7 5.633305818E-7 5.627354706E-7 5.621391936E-7 5.615417488E-7 5.609431340E-7 5.603433469E-7 5.597423852E-7 5.591402468E-7 5.585369292E-7 5.579324303E-7 5.573267475E-7 5.567198786E-7 5.561118211E-7 5.555025726E-7 5.548921307E-7 5.542804928E-7 5.536676565E-7 5.530536191E-7
1.556250000E+1 5.430605196E-7 5.425467234E-7 5.420319089E-7 5.415160749E-7 5.409992201E-7 5.404813433E-7 5.399624432E-7 5.394425184E-7 5.389215677E-7 5.383995896E-7 5.378765827E-7 5.373525458E-7 5.368274773E-7 5.363013758E-7 5.357742399E-7 5.352460680E-7 5.347168587E-7 5.341866104E-7 5.336553217E-7 5.331229908E-7 5.325896163E-7 5.320551965E-7 5.315197298E-7 5.309832145E-7 5.304456490E-7 5.299070315E-7 5.293673604E-7 5.288266339E-7 5.282848503E-7 5.277420077E-7 5.271981044E-7 5.266531385E-7 5.261071082E-7 5.255600117E-7 5.250118469E-7 5.244626121E-7 5.239123052E-7 5.233609243E-7 5.228084675E-7 5.222549326E-7 5.217003178E-7 5.211446209E-7 5.205878398E-7 5.200299725E-7 5.194710169E-7 5.189109707E-7 5.183498319E-7 5.177875982E-7 5.172242674E-7 5.166598373E-7 5.160943056E-7
