T file kT1 Voc Jsc FF eta Vmpp Jmpp
280 1_280 41.408 6.127E-1 3.279E+2 8.345E-1 1.677E-1 5.350E-1 3.134E+2 
285 2_285 40.681 6.018E-1 3.279E+2 8.302E-1 1.638E-1 5.236E-1 3.128E+2 
290 3_290 39.98 5.908E-1 3.278E+2 8.258E-1 1.600E-1 5.123E-1 3.122E+2 
295 4_295 39.302 5.798E-1 3.278E+2 8.213E-1 1.561E-1 5.010E-1 3.116E+2 
300 5_300 38.647 5.688E-1 3.277E+2 8.168E-1 1.522E-1 4.896E-1 3.109E+2 
305 6_305 38.014 5.577E-1 3.277E+2 8.120E-1 1.484E-1 4.783E-1 3.103E+2 
310 7_310 37.401 5.466E-1 3.276E+2 8.072E-1 1.446E-1 4.670E-1 3.096E+2 
315 8_315 36.807 5.355E-1 3.276E+2 8.022E-1 1.407E-1 4.557E-1 3.088E+2 
320 9_320 36.232 5.243E-1 3.276E+2 7.971E-1 1.369E-1 4.443E-1 3.081E+2 
325 10_325 35.674 5.131E-1 3.275E+2 7.918E-1 1.331E-1 4.331E-1 3.073E+2 
330 11_330 35.134 5.019E-1 3.275E+2 7.863E-1 1.293E-1 4.218E-1 3.065E+2 
335 12_335 34.61 4.907E-1 3.275E+2 7.807E-1 1.254E-1 4.105E-1 3.056E+2 
340 13_340 34.101 4.794E-1 3.274E+2 7.749E-1 1.216E-1 3.992E-1 3.047E+2 
