T d154 d184 d214 d244
d 150 180 210 240
290 1.250189785E+00 1.248564202E+00 1.246858995E+00 1.244928113E+00
295 1.252358746E+00 1.250903272E+00 1.249215240E+00 1.247587128E+00
300 1.255054613E+00 1.253464069E+00 1.251807017E+00 1.250323815E+00
305 1.258050983E+00 1.256115520E+00 1.254418273E+00 1.252868924E+00
310 1.260833522E+00 1.258543134E+00 1.256716720E+00 1.254826616E+00
315 1.263113288E+00 1.260366470E+00 1.257982948E+00 1.255352399E+00
320 1.264318852E+00 1.261127352E+00 1.258030033E+00 1.254850081E+00
325 1.263809309E+00 1.259869677E+00 1.255873724E+00 1.252039317E+00
330 1.260770059E+00 1.255692091E+00 1.250621614E+00 1.245633150E+00
335 1.253779341E+00 1.247046086E+00 1.240493584E+00 1.234089867E+00
340 1.240498403E+00 1.231421085E+00 1.222799156E+00 1.213140896E+00
