N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.195914445E+00 1.193168405E+00 1.190553887E+00 1.188088385E+00
1.600000000E+01 1.216364612E+00 1.214113818E+00 1.212132058E+00 1.209868364E+00
1.700000000E+01 1.230055958E+00 1.227196584E+00 1.225283265E+00 1.218262908E+00
1.549996187E+01 1.205000809E+00 1.202650736E+00 1.200465080E+00 1.198287133E+00
1.649996187E+01 1.215950655E+00 1.213261631E+00 1.211064353E+00 1.209114377E+00
1.674996808E+01 1.219805784E+00 1.216899706E+00 1.214709087E+00 1.212694799E+00
1.624993176E+01 1.216909555E+00 1.214557238E+00 1.212446390E+00 1.210559330E+00
1.574996808E+01 1.211156580E+00 1.208876651E+00 1.206668350E+00 1.204546617E+00
1.524993176E+01 1.201575966E+00 1.199014391E+00 1.196695021E+00 1.194580655E+00
