N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 2.249941000E-03 2.121930000E-03 2.063747000E-03 2.020538000E-03 1.903588000E-03 1.408664000E-03 3.365300000E-05 1.205421000E-03 1.384171000E-03 1.816756000E-03 2.615513000E-03
1.600000000E+01 6.127423000E-03 6.464512000E-03 7.089092000E-03 7.927890000E-03 9.198578000E-03 1.080701200E-02 1.263614000E-02 1.482415900E-02 1.720601400E-02 1.941923100E-02 2.141500800E-02
1.700000000E+01 1.481292400E-02 1.777246400E-02 2.108455200E-02 2.597870300E-02 3.145880000E-02 3.760557200E-02 4.366039700E-02 5.028879600E-02 5.671163700E-02 6.164845100E-02 6.812047500E-02
1.549996187E+01 4.093239000E-03 4.024206000E-03 4.080384000E-03 4.332214000E-03 4.802563000E-03 5.354050000E-03 6.017438000E-03 6.559107000E-03 6.498430000E-03 4.989863000E-03 7.503160000E-04
1.649996187E+01 8.968718000E-03 1.019278700E-02 1.178053500E-02 1.408230100E-02 1.695267500E-02 2.017816800E-02 2.407188500E-02 2.836103000E-02 3.254585700E-02 3.710039000E-02 4.152579300E-02
1.674996808E+01 1.136340800E-02 1.328389300E-02 1.572234200E-02 1.909476000E-02 2.305915200E-02 2.742857200E-02 3.255189600E-02 3.799732800E-02 4.299389400E-02 4.839816400E-02 5.340711900E-02
1.624993176E+01 7.284465000E-03 8.011930000E-03 9.118648000E-03 1.051713500E-02 1.247730100E-02 1.489341800E-02 1.756560100E-02 2.074870100E-02 2.416480800E-02 2.745282500E-02 3.081376700E-02
1.574996808E+01 5.167532000E-03 5.134196000E-03 5.431449000E-03 5.959624000E-03 6.971061000E-03 8.233253000E-03 8.901176000E-03 1.026459100E-02 1.152557700E-02 1.245396300E-02 1.213516000E-02
1.524993176E+01 3.094031000E-03 2.952066000E-03 2.969686000E-03 3.099386000E-03 3.306699000E-03 3.488674000E-03 3.441409000E-03 2.613037000E-03 2.092030000E-04 1.272821000E-03 1.471481000E-03
