N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.586500000E-05 1.409300000E-05 1.270400000E-05 1.178700000E-05 1.151400000E-05 1.175500000E-05 1.213000000E-05 1.144700000E-05 8.417000000E-06 8.465000000E-06 9.668000000E-06
1.600000000E+01 9.323600000E-05 8.528900000E-05 7.781700000E-05 7.035600000E-05 6.589900000E-05 6.411700000E-05 6.274400000E-05 6.540300000E-05 7.107700000E-05 7.959400000E-05 9.299800000E-05
1.700000000E+01 4.061860000E-04 3.767700000E-04 3.371440000E-04 2.955090000E-04 2.672870000E-04 2.914940000E-04 3.055900000E-04 3.778830000E-04 2.483480000E-04 2.707340000E-04 3.707220000E-04
1.549996187E+01 4.072900000E-05 3.654700000E-05 3.273600000E-05 2.985800000E-05 2.842800000E-05 2.779800000E-05 2.895500000E-05 3.185600000E-05 3.678700000E-05 4.425000000E-05 5.338500000E-05
1.649996187E+01 2.004410000E-04 1.838930000E-04 1.643510000E-04 1.518600000E-04 1.407050000E-04 1.311440000E-04 1.287570000E-04 1.310060000E-04 1.363580000E-04 1.489050000E-04 1.675350000E-04
1.674996808E+01 2.893360000E-04 2.666990000E-04 2.379170000E-04 2.181530000E-04 2.038220000E-04 1.878620000E-04 1.812220000E-04 1.817870000E-04 1.862080000E-04 2.012060000E-04 2.238750000E-04
1.624993176E+01 1.362760000E-04 1.248760000E-04 1.141910000E-04 1.030030000E-04 9.617800000E-05 9.228700000E-05 9.003000000E-05 9.287100000E-05 9.924000000E-05 1.089480000E-04 1.242800000E-04
1.574996808E+01 6.326300000E-05 5.632300000E-05 5.117700000E-05 4.707100000E-05 4.424300000E-05 4.243900000E-05 4.303700000E-05 4.564300000E-05 5.040300000E-05 5.871700000E-05 7.085200000E-05
1.524993176E+01 2.557200000E-05 2.263800000E-05 2.051000000E-05 1.889700000E-05 1.821600000E-05 1.839600000E-05 1.980700000E-05 2.241100000E-05 2.576400000E-05 2.780800000E-05 1.028800000E-05
