fname time Tem kT_1 Voc Isc Pm Vm Im FF rmsre 
L143 41963515.773 340.16 34.085 2.466042797E-01 1.561300734E-04 2.345335434E-05 1.849749916E-01 1.267943344E-04 6.091409436E-01 0.000000000E+00 
L144 41989082.4483 340.05 34.096 2.469106744E-01 1.566979981E-04 2.357678871E-05 1.832661947E-01 1.286605413E-04 6.093703757E-01 0.000000000E+00 
L145 42010320.151 339.99 34.102 2.481035910E-01 1.573243143E-04 2.382403311E-05 1.858196045E-01 1.282264928E-04 6.103604525E-01 0.000000000E+00 
L146 42031110.774 339.93 34.108 2.478078789E-01 1.583465553E-04 2.398417392E-05 1.845262246E-01 1.299929298E-04 6.112248947E-01 0.000000000E+00 
L147 42052352.033 339.9 34.111 2.483683081E-01 1.591381384E-04 2.415222119E-05 1.859314668E-01 1.299033023E-04 6.110638966E-01 0.000000000E+00 
L148 42073352.473 339.89 34.112 2.490895594E-01 1.600701499E-04 2.437024892E-05 1.886443017E-01 1.291911528E-04 6.112151203E-01 0.000000000E+00 
L149 42094372.523 339.87 34.114 2.497706627E-01 1.610551547E-04 2.469015346E-05 1.870577527E-01 1.319770856E-04 6.137729349E-01 2.721359771E-17 
L150 42115592.116 339.88 34.113 2.500568216E-01 1.615566694E-04 2.471655522E-05 1.896434064E-01 1.303335406E-04 6.118209507E-01 0.000000000E+00 
L151 42136354.967 339.87 34.114 2.502488111E-01 1.623666310E-04 2.496877366E-05 1.875837364E-01 1.330993097E-04 6.145092297E-01 0.000000000E+00 
L152 42157355.848 339.88 34.113 2.511455351E-01 1.628662943E-04 2.517427342E-05 1.888981594E-01 1.332630231E-04 6.154606176E-01 0.000000000E+00 
L153 42178116.216 339.89 34.112 2.518792717E-01 1.639296233E-04 2.527826122E-05 1.891352345E-01 1.336490708E-04 6.122056421E-01 0.000000000E+00 
L154 42199347.211 339.9 34.111 2.513445804E-01 1.647109237E-04 2.542489477E-05 1.905250927E-01 1.334446107E-04 6.141397898E-01 0.000000000E+00 
L155 42220348.073 339.91 34.11 2.522073809E-01 1.655966733E-04 2.565724182E-05 1.891666441E-01 1.356300957E-04 6.143283638E-01 0.000000000E+00 
L156 42241118.503 339.92 34.109 2.520791480E-01 1.666937806E-04 2.570656572E-05 1.891757534E-01 1.358916008E-04 6.117693884E-01 0.000000000E+00 
L157 42262119.48 339.93 34.108 2.533043664E-01 1.672436603E-04 2.600197513E-05 1.904965439E-01 1.364948691E-04 6.137817889E-01 0.000000000E+00 
L158 42283119.993 339.96 34.105 2.530535300E-01 1.675769063E-04 2.609436733E-05 1.906779255E-01 1.368506490E-04 6.153471637E-01 0.000000000E+00 
L159 42304120.968 339.96 34.105 2.538415649E-01 1.683117906E-04 2.624645542E-05 1.904350479E-01 1.378217910E-04 6.143182019E-01 0.000000000E+00 
L160 42325121.425 339.97 34.104 2.534856928E-01 1.690920598E-04 2.630090909E-05 1.902409935E-01 1.382488508E-04 6.136123523E-01 0.000000000E+00 
L161 42346122.134 339.97 34.104 2.545023784E-01 1.700198747E-04 2.661124568E-05 1.927858596E-01 1.380247701E-04 6.149979488E-01 0.000000000E+00 
L162 42367124.53 340 34.101 2.542750066E-01 1.709281282E-04 2.682665336E-05 1.899469701E-01 1.412318860E-04 6.172332121E-01 0.000000000E+00 
L163 42388116.017 340 34.101 2.545952795E-01 1.717116210E-04 2.691785245E-05 1.921510676E-01 1.400930256E-04 6.157300836E-01 0.000000000E+00 
L164 42409114.85 340.02 34.099 2.547822966E-01 1.723756114E-04 2.714293892E-05 1.905371898E-01 1.424574393E-04 6.180331948E-01 0.000000000E+00 
L165 42430115.432 340.02 34.099 2.558460758E-01 1.728735920E-04 2.726954307E-05 1.922705510E-01 1.418268490E-04 6.165530421E-01 0.000000000E+00 
L166 42451116.23 340.02 34.099 2.555702386E-01 1.732462305E-04 2.732474742E-05 1.918236540E-01 1.424427871E-04 6.171377087E-01 0.000000000E+00 
L167 42472116.989 340.01 34.1 2.559526108E-01 1.741652828E-04 2.750457458E-05 1.937678829E-01 1.419568370E-04 6.169980320E-01 0.000000000E+00 
L168 42493117.721 340.03 34.098 2.561780985E-01 1.750261490E-04 2.769782500E-05 1.929930862E-01 1.435222076E-04 6.177328996E-01 0.000000000E+00 
L169 42514118.719 340.04 34.097 2.572978845E-01 1.755623783E-04 2.791745628E-05 1.947573827E-01 1.433335010E-04 6.180280320E-01 0.000000000E+00 
L170 42535119.222 340.03 34.098 2.575768740E-01 1.762935313E-04 2.806234110E-05 1.939656576E-01 1.446850224E-04 6.179888705E-01 0.000000000E+00 
L171 42556122.306 340.04 34.097 2.577471348E-01 1.770505164E-04 2.826776277E-05 1.944892244E-01 1.453550276E-04 6.194416369E-01 0.000000000E+00 
L172 42577120.856 340.04 34.097 2.579519750E-01 1.771316866E-04 2.828167363E-05 1.938788313E-01 1.458633097E-04 6.189705567E-01 0.000000000E+00 
L173 42598341.645 340.03 34.098 2.581196291E-01 1.779060696E-04 2.842836892E-05 1.946977201E-01 1.460269301E-04 6.190705508E-01 0.000000000E+00 
L174 42619342.656 340.05 34.096 2.576017753E-01 1.784626717E-04 2.856924520E-05 1.942799175E-01 1.470460400E-04 6.214447511E-01 0.000000000E+00 
L175 42640115.734 340.05 34.096 2.580170941E-01 1.791102233E-04 2.869920555E-05 1.943907704E-01 1.476357943E-04 6.210134691E-01 0.000000000E+00 
L176 42661344.354 340.04 34.097 2.589428482E-01 1.798229605E-04 2.886507310E-05 1.952142891E-01 1.478647613E-04 6.199027993E-01 0.000000000E+00 
L177 42682344.842 340.03 34.098 2.588549620E-01 1.805374832E-04 2.900453068E-05 1.954696442E-01 1.483740672E-04 6.206431471E-01 0.000000000E+00 
L178 42703505.035 340.03 34.098 2.598209596E-01 1.808197143E-04 2.913959852E-05 1.968173893E-01 1.480485097E-04 6.202454723E-01 0.000000000E+00 
L179 42724346.329 340.04 34.097 2.595473802E-01 1.811044111E-04 2.919202696E-05 1.961033412E-01 1.488755116E-04 6.210385705E-01 0.000000000E+00 
L180 42745628.259 340.03 34.098 2.587986696E-01 1.815842754E-04 2.934692323E-05 1.954580928E-01 1.501309021E-04 6.244854142E-01 8.686531708E-17 
L181 42766350.39 340.04 34.097 2.605180376E-01 1.823397945E-04 2.942787706E-05 1.968039114E-01 1.495279662E-04 6.194976655E-01 0.000000000E+00 
L182 42787349.022 340.04 34.097 2.603787415E-01 1.828356556E-04 2.960583022E-05 1.961336545E-01 1.509488864E-04 6.218860679E-01 0.000000000E+00 
L183 42808339.36 340.03 34.098 2.605548571E-01 1.835989802E-04 2.967677554E-05 1.968953854E-01 1.507296376E-04 6.203649802E-01 0.000000000E+00 
L184 42829340.51 340.03 34.098 2.600100491E-01 1.840821556E-04 2.984509269E-05 1.964313149E-01 1.519377945E-04 6.235497472E-01 0.000000000E+00 
L185 42850343.035 340.03 34.098 2.610991091E-01 1.842531353E-04 2.991975991E-05 1.966180211E-01 1.521643968E-04 6.219247318E-01 0.000000000E+00 
L186 42871341.814 340.03 34.098 2.607918516E-01 1.843976325E-04 2.985531154E-05 1.982802953E-01 1.505780276E-04 6.208293623E-01 0.000000000E+00 
L187 42892342.669 340.02 34.099 2.608070097E-01 1.850757674E-04 2.998439386E-05 1.958728324E-01 1.530967577E-04 6.211928599E-01 0.000000000E+00 
L188 42913345.322 340.03 34.098 2.616387710E-01 1.853834095E-04 3.018070693E-05 1.970844105E-01 1.531328530E-04 6.222378747E-01 0.000000000E+00 
L189 42934344.206 340.03 34.098 2.616530947E-01 1.861712027E-04 3.024360309E-05 1.981193234E-01 1.526606246E-04 6.208621003E-01 0.000000000E+00 
L190 42955114.814 340.03 34.098 2.617476860E-01 1.863748837E-04 3.036419620E-05 1.974182457E-01 1.538097640E-04 6.224314847E-01 0.000000000E+00 
L191 42976116.723 340.01 34.1 2.623660555E-01 1.869742466E-04 3.056633338E-05 1.980651894E-01 1.543318608E-04 6.230944854E-01 0.000000000E+00 
L192 42997116.333 340.01 34.1 2.618427305E-01 1.871200123E-04 3.049472620E-05 1.973547957E-01 1.545096393E-04 6.223919686E-01 0.000000000E+00 
L193 43018107.136 340.03 34.098 2.622275504E-01 1.873889967E-04 3.052984665E-05 1.988969619E-01 1.534973295E-04 6.213012379E-01 0.000000000E+00 
L194 43039107.598 340.02 34.099 2.620994661E-01 1.876444898E-04 3.067110374E-05 1.976923485E-01 1.551412104E-04 6.236306516E-01 0.000000000E+00 
L195 43060110.494 340.02 34.099 2.625723058E-01 1.880765238E-04 3.074854264E-05 1.992494683E-01 1.543221509E-04 6.226457521E-01 0.000000000E+00 
L196 43081109.528 340.02 34.099 2.625179768E-01 1.884784192E-04 3.093939517E-05 1.981661623E-01 1.561227750E-04 6.253039045E-01 0.000000000E+00 
