N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.219078691E+00 1.216286873E+00 1.213842915E+00 1.211664413E+00
1.016672606E+01 1.219160581E+00 1.216401631E+00 1.213997089E+00 1.211865056E+00
1.033324570E+01 1.219279831E+00 1.216568174E+00 1.214219819E+00 1.212153334E+00
1.049996187E+01 1.219453029E+00 1.216808791E+00 1.214539494E+00 1.212563865E+00
1.066670514E+01 1.219703518E+00 1.217154146E+00 1.214994055E+00 1.213141350E+00
1.083333839E+01 1.220063512E+00 1.217645220E+00 1.215632185E+00 1.213940312E+00
1.100000000E+01 1.220576301E+00 1.218334586E+00 1.216512823E+00 1.215022247E+00
1.116672606E+01 1.221297874E+00 1.219286008E+00 1.217701807E+00 1.216449136E+00
1.133324570E+01 1.222296840E+00 1.220570862E+00 1.219264871E+00 1.218274082E+00
1.149996187E+01 1.223651149E+00 1.222260710E+00 1.221271708E+00 1.220542510E+00
1.166670514E+01 1.225440387E+00 1.224416415E+00 1.223726339E+00 1.223241559E+00
1.183333839E+01 1.227733654E+00 1.227076541E+00 1.226659445E+00 1.226374447E+00
1.200000000E+01 1.230575514E+00 1.230249269E+00 1.230037358E+00 1.229898284E+00
1.216672606E+01 1.233974912E+00 1.233911904E+00 1.233834749E+00 1.233785278E+00
1.233324570E+01 1.237906749E+00 1.238020098E+00 1.238016400E+00 1.238009097E+00
1.249996187E+01 1.242306470E+00 1.242523708E+00 1.242550992E+00 1.242559194E+00
1.266670514E+01 1.247114070E+00 1.247380565E+00 1.247412690E+00 1.247425406E+00
1.283333839E+01 1.252273681E+00 1.252560091E+00 1.252589528E+00 1.252603479E+00
1.300000000E+01 1.257742141E+00 1.258037322E+00 1.258063337E+00 1.258076222E+00
