fdCdf f
5.2775400E+2 3.3059851E-11
5.8783300E+2 3.2350981E-11
6.5475100E+2 3.3455871E-11
7.2928800E+2 3.5908405E-11
8.1230900E+2 3.8837747E-11
9.0478100E+2 4.1456971E-11
1.0077810E+3 4.3309455E-11
1.1225050E+3 4.4272163E-11
1.2502900E+3 4.4461475E-11
1.3926220E+3 4.4137745E-11
1.5511570E+3 4.3618013E-11
1.7277390E+3 4.3183434E-11
1.9244230E+3 4.2985380E-11
2.1434970E+3 4.3000631E-11
2.3875110E+3 4.3085705E-11
2.6593020E+3 4.3110109E-11
2.9620350E+3 4.3071744E-11
3.2992300E+3 4.3110212E-11
3.6748100E+3 4.3429666E-11
4.0931470E+3 4.4218924E-11
4.5591070E+3 4.5627694E-11
5.0781110E+3 4.7790439E-11
5.6561970E+3 5.0848142E-11
6.3000930E+3 5.4934496E-11
7.0172890E+3 6.0141184E-11
7.8161300E+3 6.6503677E-11
8.7059100E+3 7.4027116E-11
9.6969820E+3 8.2727635E-11
1.0800876E+4 9.2651445E-11
1.2030437E+4 1.0385679E-10
1.3399969E+4 1.1637189E-10
1.4925408E+4 1.3015601E-10
1.6624501E+4 1.4508734E-10
1.8517016E+4 1.6097872E-10
2.0624974E+4 1.7759875E-10
2.2972900E+4 1.9467381E-10
2.5588111E+4 2.1187478E-10
2.8501035E+4 2.2880823E-10
3.1745563E+4 2.4502047E-10
3.5359445E+4 2.6001818E-10
3.9384728E+4 2.7331820E-10
4.3868244E+4 2.8452636E-10
4.8862159E+4 2.9340350E-10
5.4424577E+4 2.9986656E-10
6.0620214E+4 3.0392984E-10
6.7521156E+4 3.0565288E-10
7.5207695E+4 3.0513805E-10
8.3769261E+4 3.0254782E-10
9.3305466E+4 2.9809622E-10
1.0392726E+5 2.9202135E-10
1.1575824E+5 2.8457551E-10
1.2893603E+5 2.7602658E-10
1.4361398E+5 2.6663492E-10
1.5996284E+5 2.5660741E-10
1.7817285E+5 2.4607810E-10
1.9845586E+5 2.3515038E-10
2.2104787E+5 2.2396320E-10
2.4621173E+5 2.1272360E-10
2.7424021E+5 2.0167320E-10
3.0545943E+5 1.9100722E-10
3.4023262E+5 1.8079678E-10
3.7896435E+5 1.7097310E-10
4.2210526E+5 1.6138076E-10
4.7015728E+5 1.5181308E-10
5.2367949E+5 1.4191282E-10
5.8329463E+5 1.3093576E-10
6.4969628E+5 1.1756376E-10
7.2365703E+5 1.0005017E-10
8.0603739E+5 7.6854702E-11
8.9779585E+5 4.7583646E-11
1.0000000E+6 3.1109766E-11
