fdCdf f
5.2775400E+2 7.8928715E-10
5.8783300E+2 7.4465208E-10
6.5475100E+2 7.0782613E-10
7.2928800E+2 6.7948722E-10
8.1230900E+2 6.6015988E-10
9.0478100E+2 6.4967300E-10
1.0077810E+3 6.4615177E-10
1.1225050E+3 6.4591622E-10
1.2502900E+3 6.4489635E-10
1.3926220E+3 6.4028422E-10
1.5511570E+3 6.3095747E-10
1.7277390E+3 6.1680433E-10
1.9244230E+3 5.9801633E-10
2.1434970E+3 5.7506225E-10
2.3875110E+3 5.4903160E-10
2.6593020E+3 5.2166902E-10
2.9620350E+3 4.9487215E-10
3.2992300E+3 4.7002221E-10
3.6748100E+3 4.4763197E-10
4.0931470E+3 4.2751898E-10
4.5591070E+3 4.0922025E-10
5.0781110E+3 3.9231052E-10
5.6561970E+3 3.7649320E-10
6.3000930E+3 3.6154981E-10
7.0172890E+3 3.4729675E-10
7.8161300E+3 3.3361727E-10
8.7059100E+3 3.2054943E-10
9.6969820E+3 3.0833965E-10
1.0800876E+4 2.9738185E-10
1.2030437E+4 2.8804612E-10
1.3399969E+4 2.8051598E-10
1.4925408E+4 2.7475675E-10
1.6624501E+4 2.7061379E-10
1.8517016E+4 2.6792969E-10
2.0624974E+4 2.6660586E-10
2.2972900E+4 2.6661707E-10
2.5588111E+4 2.6800245E-10
2.8501035E+4 2.7081408E-10
3.1745563E+4 2.7501908E-10
3.5359445E+4 2.8042947E-10
3.9384728E+4 2.8674153E-10
4.3868244E+4 2.9365835E-10
4.8862159E+4 3.0097676E-10
5.4424577E+4 3.0856469E-10
6.0620214E+4 3.1627836E-10
6.7521156E+4 3.2391776E-10
7.5207695E+4 3.3125006E-10
8.3769261E+4 3.3805308E-10
9.3305466E+4 3.4413463E-10
1.0392726E+5 3.4933090E-10
1.1575824E+5 3.5350483E-10
1.2893603E+5 3.5654491E-10
1.4361398E+5 3.5836224E-10
1.5996284E+5 3.5889320E-10
1.7817285E+5 3.5811392E-10
1.9845586E+5 3.5605713E-10
2.2104787E+5 3.5280415E-10
2.4621173E+5 3.4845393E-10
2.7424021E+5 3.4309083E-10
3.0545943E+5 3.3677498E-10
3.4023262E+5 3.2954901E-10
3.7896435E+5 3.2143196E-10
4.2210526E+5 3.1235906E-10
4.7015728E+5 3.0201531E-10
5.2367949E+5 2.8952486E-10
5.8329463E+5 2.7305251E-10
6.4969628E+5 2.4957483E-10
7.2365703E+5 2.1527861E-10
8.0603739E+5 1.6693738E-10
8.9779585E+5 1.0396838E-10
1.0000000E+6 6.8177345E-11
