fdCdf f
5.2775400E+2 8.0592214E-10
5.8783300E+2 8.1764973E-10
6.5475100E+2 8.1773396E-10
7.2928800E+2 8.0661663E-10
8.1230900E+2 7.8925114E-10
9.0478100E+2 7.7072688E-10
1.0077810E+3 7.5289668E-10
1.1225050E+3 7.3412889E-10
1.2502900E+3 7.1182891E-10
1.3926220E+3 6.8507205E-10
1.5511570E+3 6.5515314E-10
1.7277390E+3 6.2429422E-10
1.9244230E+3 5.9408252E-10
2.1434970E+3 5.6488872E-10
2.3875110E+3 5.3627855E-10
2.6593020E+3 5.0775593E-10
2.9620350E+3 4.7929086E-10
3.2992300E+3 4.5148460E-10
3.6748100E+3 4.2542697E-10
4.0931470E+3 4.0235749E-10
4.5591070E+3 3.8315591E-10
5.0781110E+3 3.6788772E-10
5.6561970E+3 3.5574057E-10
6.3000930E+3 3.4545115E-10
7.0172890E+3 3.3592151E-10
7.8161300E+3 3.2659126E-10
8.7059100E+3 3.1743153E-10
9.6969820E+3 3.0875828E-10
1.0800876E+4 3.0108192E-10
1.2030437E+4 2.9497840E-10
1.3399969E+4 2.9087566E-10
1.4925408E+4 2.8880976E-10
1.6624501E+4 2.8835618E-10
1.8517016E+4 2.8883700E-10
2.0624974E+4 2.8967560E-10
2.2972900E+4 2.9065819E-10
2.5588111E+4 2.9196078E-10
2.8501035E+4 2.9397285E-10
3.1745563E+4 2.9705624E-10
3.5359445E+4 3.0137413E-10
3.9384728E+4 3.0684235E-10
4.3868244E+4 3.1318132E-10
4.8862159E+4 3.2002639E-10
5.4424577E+4 3.2704650E-10
6.0620214E+4 3.3400604E-10
6.7521156E+4 3.4073236E-10
7.5207695E+4 3.4703020E-10
8.3769261E+4 3.5263772E-10
9.3305466E+4 3.5727712E-10
1.0392726E+5 3.6075356E-10
1.1575824E+5 3.6301190E-10
1.2893603E+5 3.6410783E-10
1.4361398E+5 3.6413450E-10
1.5996284E+5 3.6316554E-10
1.7817285E+5 3.6123447E-10
1.9845586E+5 3.5834164E-10
2.2104787E+5 3.5447430E-10
2.4621173E+5 3.4963908E-10
2.7424021E+5 3.4388413E-10
3.0545943E+5 3.3728759E-10
3.4023262E+5 3.2991357E-10
3.7896435E+5 3.2176421E-10
4.2210526E+5 3.1272832E-10
4.7015728E+5 3.0245716E-10
5.2367949E+5 2.9007761E-10
5.8329463E+5 2.7376991E-10
6.4969628E+5 2.5048853E-10
7.2365703E+5 2.1633394E-10
8.0603739E+5 1.6795958E-10
8.9779585E+5 1.0470455E-10
1.0000000E+6 6.8698038E-11
