fdCdf f
5.2775400E+2 4.7336123E-11
5.8783300E+2 5.7125099E-11
6.5475100E+2 6.6008260E-11
7.2928800E+2 6.9821312E-11
8.1230900E+2 6.7181332E-11
9.0478100E+2 6.0392833E-11
1.0077810E+3 5.3641667E-11
1.1225050E+3 5.0011846E-11
1.2502900E+3 4.9735903E-11
1.3926220E+3 5.0840131E-11
1.5511570E+3 5.1264489E-11
1.7277390E+3 5.0477253E-11
1.9244230E+3 4.9344889E-11
2.1434970E+3 4.8764897E-11
2.3875110E+3 4.8597431E-11
2.6593020E+3 4.7865021E-11
2.9620350E+3 4.5816381E-11
3.2992300E+3 4.2715525E-11
3.6748100E+3 3.9671930E-11
4.0931470E+3 3.7808426E-11
4.5591070E+3 3.7563172E-11
5.0781110E+3 3.8621970E-11
5.6561970E+3 4.0333191E-11
6.3000930E+3 4.2137353E-11
7.0172890E+3 4.3726545E-11
7.8161300E+3 4.4993984E-11
8.7059100E+3 4.5976253E-11
9.6969820E+3 4.6877939E-11
1.0800876E+4 4.8101313E-11
1.2030437E+4 5.0174540E-11
1.3399969E+4 5.3587947E-11
1.4925408E+4 5.8645806E-11
1.6624501E+4 6.5410369E-11
1.8517016E+4 7.3735315E-11
2.0624974E+4 8.3369894E-11
2.2972900E+4 9.4114221E-11
2.5588111E+4 1.0594591E-10
2.8501035E+4 1.1899945E-10
3.1745563E+4 1.3338302E-10
3.5359445E+4 1.4898249E-10
3.9384728E+4 1.6542237E-10
4.3868244E+4 1.8219754E-10
4.8862159E+4 1.9884143E-10
5.4424577E+4 2.1500171E-10
6.0620214E+4 2.3040891E-10
6.7521156E+4 2.4481020E-10
7.5207695E+4 2.5793504E-10
8.3769261E+4 2.6950305E-10
9.3305466E+4 2.7925090E-10
1.0392726E+5 2.8696129E-10
1.1575824E+5 2.9249504E-10
1.2893603E+5 2.9582016E-10
1.4361398E+5 2.9702265E-10
1.5996284E+5 2.9628743E-10
1.7817285E+5 2.9386003E-10
1.9845586E+5 2.9001425E-10
2.2104787E+5 2.8502977E-10
2.4621173E+5 2.7917221E-10
2.7424021E+5 2.7266497E-10
3.0545943E+5 2.6566389E-10
3.4023262E+5 2.5825086E-10
3.7896435E+5 2.5044337E-10
4.2210526E+5 2.4218108E-10
4.7015728E+5 2.3322437E-10
5.2367949E+5 2.2291707E-10
5.8329463E+5 2.0985609E-10
6.4969628E+5 1.9168281E-10
7.2365703E+5 1.6537393E-10
8.0603739E+5 1.2832224E-10
8.9779585E+5 7.9973925E-11
1.0000000E+6 5.2466668E-11
