fdCdf f
5.2775400E+2 2.0259269E-10
5.8783300E+2 2.0080976E-10
6.5475100E+2 1.9414299E-10
7.2928800E+2 1.8138383E-10
8.1230900E+2 1.6335301E-10
9.0478100E+2 1.4331215E-10
1.0077810E+3 1.2547589E-10
1.1225050E+3 1.1287756E-10
1.2502900E+3 1.0614453E-10
1.3926220E+3 1.0387904E-10
1.5511570E+3 1.0404800E-10
1.7277390E+3 1.0508947E-10
1.9244230E+3 1.0599701E-10
2.1434970E+3 1.0590767E-10
2.3875110E+3 1.0410472E-10
2.6593020E+3 1.0049981E-10
2.9620350E+3 9.5875428E-11
3.2992300E+3 9.1468005E-11
3.6748100E+3 8.8254255E-11
4.0931470E+3 8.6526121E-11
4.5591070E+3 8.5915957E-11
5.0781110E+3 8.5677473E-11
5.6561970E+3 8.5013300E-11
6.3000930E+3 8.3376094E-11
7.0172890E+3 8.0724667E-11
7.8161300E+3 7.7649981E-11
8.7059100E+3 7.5231909E-11
9.6969820E+3 7.4587878E-11
1.0800876E+4 7.6314956E-11
1.2030437E+4 8.0178780E-11
1.3399969E+4 8.5275224E-11
1.4925408E+4 9.0555255E-11
1.6624501E+4 9.5352012E-11
1.8517016E+4 9.9588708E-11
2.0624974E+4 1.0361183E-10
2.2972900E+4 1.0784600E-10
2.5588111E+4 1.1253319E-10
2.8501035E+4 1.1768875E-10
3.1745563E+4 1.2320867E-10
3.5359445E+4 1.2896531E-10
3.9384728E+4 1.3479732E-10
4.3868244E+4 1.4044790E-10
4.8862159E+4 1.4556694E-10
5.4424577E+4 1.4980712E-10
6.0620214E+4 1.5292967E-10
6.7521156E+4 1.5483491E-10
7.5207695E+4 1.5552732E-10
8.3769261E+4 1.5508853E-10
9.3305466E+4 1.5369001E-10
1.0392726E+5 1.5159206E-10
1.1575824E+5 1.4905979E-10
1.2893603E+5 1.4621594E-10
1.4361398E+5 1.4295371E-10
1.5996284E+5 1.3901190E-10
1.7817285E+5 1.3417192E-10
1.9845586E+5 1.2842661E-10
2.2104787E+5 1.2200302E-10
2.4621173E+5 1.1525632E-10
2.7424021E+5 1.0853668E-10
3.0545943E+5 1.0211322E-10
3.4023262E+5 9.6159788E-11
3.7896435E+5 9.0756972E-11
4.2210526E+5 8.5872457E-11
4.7015728E+5 8.1316670E-11
5.2367949E+5 7.6691766E-11
5.8329463E+5 7.1356693E-11
6.4969628E+5 6.4444639E-11
7.2365703E+5 5.4996915E-11
8.0603739E+5 4.2269342E-11
8.9779585E+5 2.6158810E-11
1.0000000E+6 1.7093787E-11
