fdCdf f
5.2775400E+2 4.9507441E-11
5.8783300E+2 4.7254722E-11
6.5475100E+2 4.6369354E-11
7.2928800E+2 4.6550168E-11
8.1230900E+2 4.7235866E-11
9.0478100E+2 4.7894853E-11
1.0077810E+3 4.8227237E-11
1.1225050E+3 4.8186799E-11
1.2502900E+3 4.7883750E-11
1.3926220E+3 4.7460294E-11
1.5511570E+3 4.6996773E-11
1.7277390E+3 4.6483999E-11
1.9244230E+3 4.5864082E-11
2.1434970E+3 4.5108304E-11
2.3875110E+3 4.4266730E-11
2.6593020E+3 4.3442893E-11
2.9620350E+3 4.2714116E-11
3.2992300E+3 4.2070745E-11
3.6748100E+3 4.1431782E-11
4.0931470E+3 4.0728337E-11
4.5591070E+3 3.9978055E-11
5.0781110E+3 3.9288138E-11
5.6561970E+3 3.8798972E-11
6.3000930E+3 3.8636043E-11
7.0172890E+3 3.8912651E-11
7.8161300E+3 3.9752469E-11
8.7059100E+3 4.1276559E-11
9.6969820E+3 4.3553660E-11
1.0800876E+4 4.6574932E-11
1.2030437E+4 5.0299047E-11
1.3399969E+4 5.4736893E-11
1.4925408E+4 5.9998381E-11
1.6624501E+4 6.6261029E-11
1.8517016E+4 7.3696162E-11
2.0624974E+4 8.2421533E-11
2.2972900E+4 9.2508649E-11
2.5588111E+4 1.0401137E-10
2.8501035E+4 1.1696108E-10
3.1745563E+4 1.3131103E-10
3.5359445E+4 1.4687345E-10
3.9384728E+4 1.6331180E-10
4.3868244E+4 1.8020292E-10
4.8862159E+4 1.9711819E-10
5.4424577E+4 2.1366239E-10
6.0620214E+4 2.2946225E-10
6.7521156E+4 2.4415156E-10
7.5207695E+4 2.5739220E-10
8.3769261E+4 2.6891823E-10
9.3305466E+4 2.7855639E-10
1.0392726E+5 2.8620106E-10
1.1575824E+5 2.9177621E-10
1.2893603E+5 2.9523182E-10
1.4361398E+5 2.9658527E-10
1.5996284E+5 2.9596425E-10
1.7817285E+5 2.9360288E-10
1.9845586E+5 2.8979091E-10
2.2104787E+5 2.8481093E-10
2.4621173E+5 2.7890497E-10
2.7424021E+5 2.7227660E-10
3.0545943E+5 2.6510857E-10
3.4023262E+5 2.5756442E-10
3.7896435E+5 2.4975383E-10
4.2210526E+5 2.4165453E-10
4.7015728E+5 2.3297875E-10
5.2367949E+5 2.2296190E-10
5.8329463E+5 2.1009545E-10
6.4969628E+5 1.9197378E-10
7.2365703E+5 1.6560044E-10
8.0603739E+5 1.2844119E-10
8.9779585E+5 8.0010897E-11
1.0000000E+6 5.2474966E-11
