fdCdf f
5.2775400E+2 3.9691649E-11
5.8783300E+2 4.3919970E-11
6.5475100E+2 5.0370264E-11
7.2928800E+2 5.8507369E-11
8.1230900E+2 6.7587356E-11
9.0478100E+2 7.7050861E-11
1.0077810E+3 8.6684410E-11
1.1225050E+3 9.6545942E-11
1.2502900E+3 1.0682129E-10
1.3926220E+3 1.1775217E-10
1.5511570E+3 1.2964927E-10
1.7277390E+3 1.4290903E-10
1.9244230E+3 1.5795422E-10
2.1434970E+3 1.7512965E-10
2.3875110E+3 1.9463367E-10
2.6593020E+3 2.1649218E-10
2.9620350E+3 2.4051127E-10
3.2992300E+3 2.6617568E-10
3.6748100E+3 2.9257473E-10
4.0931470E+3 3.1847992E-10
4.5591070E+3 3.4255042E-10
5.0781110E+3 3.6355122E-10
5.6561970E+3 3.8048585E-10
6.3000930E+3 3.9262879E-10
7.0172890E+3 3.9949331E-10
7.8161300E+3 4.0078345E-10
8.7059100E+3 3.9639977E-10
9.6969820E+3 3.8654004E-10
1.0800876E+4 3.7184139E-10
1.2030437E+4 3.5340038E-10
1.3399969E+4 3.3255141E-10
1.4925408E+4 3.1048434E-10
1.6624501E+4 2.8795031E-10
1.8517016E+4 2.6524956E-10
2.0624974E+4 2.4248607E-10
2.2972900E+4 2.1988427E-10
2.5588111E+4 1.9794569E-10
2.8501035E+4 1.7734919E-10
3.1745563E+4 1.5867805E-10
3.5359445E+4 1.4218134E-10
3.9384728E+4 1.2773437E-10
4.3868244E+4 1.1498813E-10
4.8862159E+4 1.0356474E-10
5.4424577E+4 9.3181091E-11
6.0620214E+4 8.3688119E-11
6.7521156E+4 7.5060107E-11
7.5207695E+4 6.7346658E-11
8.3769261E+4 6.0594779E-11
9.3305466E+4 5.4779672E-11
1.0392726E+5 4.9787945E-11
1.1575824E+5 4.5452869E-11
1.2893603E+5 4.1602679E-11
1.4361398E+5 3.8094396E-11
1.5996284E+5 3.4835592E-11
1.7817285E+5 3.1799486E-11
1.9845586E+5 2.9024605E-11
2.2104787E+5 2.6588828E-11
2.4621173E+5 2.4565629E-11
2.7424021E+5 2.2981165E-11
3.0545943E+5 2.1790179E-11
3.4023262E+5 2.0881864E-11
3.7896435E+5 2.0114186E-11
4.2210526E+5 1.9355640E-11
4.7015728E+5 1.8505004E-11
5.2367949E+5 1.7477754E-11
5.8329463E+5 1.6175989E-11
6.4969628E+5 1.4469947E-11
7.2365703E+5 1.2211904E-11
8.0603739E+5 9.2896087E-12
8.9779585E+5 5.7048905E-12
1.0000000E+6 3.7117755E-12
