fdCdf f
5.2775400E+2 8.9671290E-11
5.8783300E+2 8.8472621E-11
6.5475100E+2 7.8915795E-11
7.2928800E+2 6.5892653E-11
8.1230900E+2 5.3909012E-11
9.0478100E+2 4.5076137E-11
1.0077810E+3 3.9571036E-11
1.1225050E+3 3.7063980E-11
1.2502900E+3 3.7337754E-11
1.3926220E+3 3.9858824E-11
1.5511570E+3 4.3384085E-11
1.7277390E+3 4.6441853E-11
1.9244230E+3 4.8282643E-11
2.1434970E+3 4.9256831E-11
2.3875110E+3 5.0223105E-11
2.6593020E+3 5.1654593E-11
2.9620350E+3 5.3335122E-11
3.2992300E+3 5.4798039E-11
3.6748100E+3 5.5913231E-11
4.0931470E+3 5.7036059E-11
4.5591070E+3 5.8687289E-11
5.0781110E+3 6.1173165E-11
5.6561970E+3 6.4479722E-11
6.3000930E+3 6.8402334E-11
7.0172890E+3 7.2663081E-11
7.8161300E+3 7.6905488E-11
8.7059100E+3 8.0696712E-11
9.6969820E+3 8.3672121E-11
1.0800876E+4 8.5718777E-11
1.2030437E+4 8.6950689E-11
1.3399969E+4 8.7438764E-11
1.4925408E+4 8.6996667E-11
1.6624501E+4 8.5324933E-11
1.8517016E+4 8.2413182E-11
2.0624974E+4 7.8771245E-11
2.2972900E+4 7.5203955E-11
2.5588111E+4 7.2297767E-11
2.8501035E+4 7.0051680E-11
3.1745563E+4 6.7928281E-11
3.5359445E+4 6.5241582E-11
3.9384728E+4 6.1578387E-11
4.3868244E+4 5.6995237E-11
4.8862159E+4 5.1928162E-11
5.4424577E+4 4.6929614E-11
6.0620214E+4 4.2416499E-11
6.7521156E+4 3.8562658E-11
7.5207695E+4 3.5345201E-11
8.3769261E+4 3.2653526E-11
9.3305466E+4 3.0366946E-11
1.0392726E+5 2.8377920E-11
1.1575824E+5 2.6594307E-11
1.2893603E+5 2.4948897E-11
1.4361398E+5 2.3412139E-11
1.5996284E+5 2.1992233E-11
1.7817285E+5 2.0718876E-11
1.9845586E+5 1.9620436E-11
2.2104787E+5 1.8705313E-11
2.4621173E+5 1.7953361E-11
2.7424021E+5 1.7316862E-11
3.0545943E+5 1.6730430E-11
3.4023262E+5 1.6132189E-11
3.7896435E+5 1.5493443E-11
4.2210526E+5 1.4837427E-11
4.7015728E+5 1.4219669E-11
5.2367949E+5 1.3663772E-11
5.8329463E+5 1.3085364E-11
6.4969628E+5 1.2258789E-11
7.2365703E+5 1.0866494E-11
8.0603739E+5 8.6291172E-12
8.9779585E+5 5.4647970E-12
1.0000000E+6 3.6159166E-12
