fdCdf f
5.2775400E+2 3.2153433E-11
5.8783300E+2 3.3098003E-11
6.5475100E+2 3.4984153E-11
7.2928800E+2 3.7491767E-11
8.1230900E+2 4.0117080E-11
9.0478100E+2 4.2415757E-11
1.0077810E+3 4.4152236E-11
1.1225050E+3 4.5317318E-11
1.2502900E+3 4.6056858E-11
1.3926220E+3 4.6565608E-11
1.5511570E+3 4.6998406E-11
1.7277390E+3 4.7443909E-11
1.9244230E+3 4.7957776E-11
2.1434970E+3 4.8617364E-11
2.3875110E+3 4.9554878E-11
2.6593020E+3 5.0951392E-11
2.9620350E+3 5.3003996E-11
3.2992300E+3 5.5894099E-11
3.6748100E+3 5.9782230E-11
4.0931470E+3 6.4832964E-11
4.5591070E+3 7.1229882E-11
5.0781110E+3 7.9144511E-11
5.6561970E+3 8.8671425E-11
6.3000930E+3 9.9786688E-11
7.0172890E+3 1.1237272E-10
7.8161300E+3 1.2629274E-10
8.7059100E+3 1.4145299E-10
9.6969820E+3 1.5779770E-10
1.0800876E+4 1.7523517E-10
1.2030437E+4 1.9355345E-10
1.3399969E+4 2.1239694E-10
1.4925408E+4 2.3131669E-10
1.6624501E+4 2.4983327E-10
1.8517016E+4 2.6745524E-10
2.0624974E+4 2.8367961E-10
2.2972900E+4 2.9803282E-10
2.5588111E+4 3.1014687E-10
2.8501035E+4 3.1979175E-10
3.1745563E+4 3.2681182E-10
3.5359445E+4 3.3102043E-10
3.9384728E+4 3.3216226E-10
4.3868244E+4 3.2999550E-10
4.8862159E+4 3.2444272E-10
5.4424577E+4 3.1570695E-10
6.0620214E+4 3.0428256E-10
6.7521156E+4 2.9086611E-10
7.5207695E+4 2.7622262E-10
8.3769261E+4 2.6106328E-10
9.3305466E+4 2.4596006E-10
1.0392726E+5 2.3130004E-10
1.1575824E+5 2.1728422E-10
1.2893603E+5 2.0396862E-10
1.4361398E+5 1.9132389E-10
1.5996284E+5 1.7928202E-10
1.7817285E+5 1.6776590E-10
1.9845586E+5 1.5672279E-10
2.2104787E+5 1.4615369E-10
2.4621173E+5 1.3611031E-10
2.7424021E+5 1.2665106E-10
3.0545943E+5 1.1779497E-10
3.4023262E+5 1.0951163E-10
3.7896435E+5 1.0174673E-10
4.2210526E+5 9.4451618E-11
4.7015728E+5 8.7573862E-11
5.2367949E+5 8.0967110E-11
5.8329463E+5 7.4220813E-11
6.4969628E+5 6.6515576E-11
7.2365703E+5 5.6697155E-11
8.0603739E+5 4.3691684E-11
8.9779585E+5 2.7132761E-11
1.0000000E+6 1.7772108E-11
