fdCdf f
5.2775400E+2 2.3709263E-11
5.8783300E+2 2.5891520E-11
6.5475100E+2 2.8949439E-11
7.2928800E+2 3.2508093E-11
8.1230900E+2 3.6192727E-11
9.0478100E+2 3.9674875E-11
1.0077810E+3 4.2713335E-11
1.1225050E+3 4.5208836E-11
1.2502900E+3 4.7236655E-11
1.3926220E+3 4.8993928E-11
1.5511570E+3 5.0671561E-11
1.7277390E+3 5.2361273E-11
1.9244230E+3 5.4096857E-11
2.1434970E+3 5.6008090E-11
2.3875110E+3 5.8438007E-11
2.6593020E+3 6.1887557E-11
2.9620350E+3 6.6801761E-11
3.2992300E+3 7.3341497E-11
3.6748100E+3 8.1292664E-11
4.0931470E+3 9.0188902E-11
4.5591070E+3 9.9606705E-11
5.0781110E+3 1.0948175E-10
5.6561970E+3 1.2022404E-10
6.3000930E+3 1.3249536E-10
7.0172890E+3 1.4676534E-10
7.8161300E+3 1.6297196E-10
8.7059100E+3 1.8054600E-10
9.6969820E+3 1.9874795E-10
1.0800876E+4 2.1701105E-10
1.2030437E+4 2.3501885E-10
1.3399969E+4 2.5251396E-10
1.4925408E+4 2.6906231E-10
1.6624501E+4 2.8398457E-10
1.8517016E+4 2.9648190E-10
2.0624974E+4 3.0585396E-10
2.2972900E+4 3.1170581E-10
2.5588111E+4 3.1407691E-10
2.8501035E+4 3.1341879E-10
3.1745563E+4 3.1038223E-10
3.5359445E+4 3.0551519E-10
3.9384728E+4 2.9907424E-10
4.3868244E+4 2.9106578E-10
4.8862159E+4 2.8144208E-10
5.4424577E+4 2.7028423E-10
6.0620214E+4 2.5786858E-10
6.7521156E+4 2.4461371E-10
7.5207695E+4 2.3095269E-10
8.3769261E+4 2.1720259E-10
9.3305466E+4 2.0351928E-10
1.0392726E+5 1.8997238E-10
1.1575824E+5 1.7666718E-10
1.2893603E+5 1.6379407E-10
1.4361398E+5 1.5156988E-10
1.5996284E+5 1.4014451E-10
1.7817285E+5 1.2955904E-10
1.9845586E+5 1.1977581E-10
2.2104787E+5 1.1074029E-10
2.4621173E+5 1.0243215E-10
2.7424021E+5 9.4876040E-11
3.0545943E+5 8.8105195E-11
3.4023262E+5 8.2100184E-11
3.7896435E+5 7.6746658E-11
4.2210526E+5 7.1840406E-11
4.7015728E+5 6.7123577E-11
5.2367949E+5 6.2303869E-11
5.8329463E+5 5.7018461E-11
6.4969628E+5 5.0762919E-11
7.2365703E+5 4.2886860E-11
8.0603739E+5 3.2779176E-11
8.9779585E+5 2.0239881E-11
1.0000000E+6 1.3217921E-11
