Fe JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
1.000000E+10 7.514210E-1 2.923970E+1 4.914280E-1 7.918280E+1 7.538940E-1 2.948170E+1 4.904250E-1 7.973900E+1 3.2803020E-01 8.2084819E-01 -2.0451649E-01 6.9752568E-01
1.468000E+10 7.490625E-1 2.898810E+1 4.903250E-1 7.892550E+1 7.526354E-1 2.932820E+1 4.889650E-1 7.969360E+1 4.7471857E-01 1.1596348E+00 -2.7813852E-01 9.6381642E-01
2.154000E+10 7.456781E-1 2.864490E+1 4.886270E-1 7.861740E+1 7.508116E-1 2.911510E+1 4.869600E-1 7.963320E+1 6.8372678E-01 1.6149696E+00 -3.4232791E-01 1.2755986E+00
3.162000E+10 7.408701E-1 2.818880E+1 4.861260E-1 7.826830E+1 7.481842E-1 2.882500E+1 4.843290E-1 7.954650E+1 9.7758012E-01 2.2071119E+00 -3.7102878E-01 1.6068589E+00
4.642000E+10 7.341359E-1 2.760110E+1 4.825080E-1 7.791940E+1 7.444303E-1 2.843930E+1 4.809800E-1 7.942700E+1 1.3828561E+00 2.9473299E+00 -3.1768473E-01 1.8980951E+00
6.813000E+10 7.248873E-1 2.686650E+1 4.772940E-1 7.765260E+1 7.391297E-1 2.793990E+1 4.766940E-1 7.929840E+1 1.9269149E+00 3.8418176E+00 -1.2586691E-01 2.0754517E+00
1.000000E+11 7.125177E-1 2.598070E+1 4.703270E-1 7.752750E+1 7.317664E-1 2.731130E+1 4.716590E-1 7.913020E+1 2.6304433E+00 4.8719761E+00 2.8240742E-01 2.0253961E+00
1.468000E+11 6.965323E-1 2.494770E+1 4.619210E-1 7.753940E+1 7.217624E-1 2.654350E+1 4.658070E-1 7.895100E+1 3.4956240E+00 6.0120180E+00 8.3425110E-01 1.7879444E+00
2.154000E+11 6.767248E-1 2.378510E+1 4.530210E-1 7.758450E+1 7.085613E-1 2.563330E+1 4.594780E-1 7.873420E+1 4.4931187E+00 7.2101524E+00 1.4052904E+00 1.4602295E+00
3.162000E+11 6.533182E-1 2.252420E+1 4.444010E-1 7.758000E+1 6.917670E-1 2.458800E+1 4.526920E-1 7.851640E+1 5.5580564E+00 8.3935253E+00 1.8314881E+00 1.1926171E+00
4.642000E+11 6.269452E-1 2.120240E+1 4.363920E-1 7.749590E+1 6.713008E-1 2.342630E+1 4.457760E-1 7.828350E+1 6.6074106E+00 9.4931765E+00 2.1050931E+00 1.0060869E+00
6.813000E+11 5.984079E-1 1.985430E+1 4.290050E-1 7.733850E+1 6.474890E-1 2.217770E+1 4.389600E-1 7.802970E+1 7.5802214E+00 1.0476289E+01 2.2678604E+00 8.8581655E-01
1.000000E+12 5.683398E-1 1.850090E+1 4.219870E-1 7.714100E+1 6.209820E-1 2.087650E+1 4.322280E-1 7.777960E+1 8.4772505E+00 1.1379302E+01 2.3693514E+00 8.2103791E-01
1.468000E+12 5.370122E-1 1.714660E+1 4.151300E-1 7.691470E+1 5.924998E-1 1.955140E+1 4.256390E-1 7.752610E+1 9.3649989E+00 1.2299886E+01 2.4689937E+00 7.8863763E-01
2.154000E+12 5.044148E-1 1.578700E+1 4.083200E-1 7.665020E+1 5.625497E-1 1.821820E+1 4.192300E-1 7.724890E+1 1.0334180E+01 1.3344897E+01 2.6023901E+00 7.7502722E-01
3.162000E+12 4.705080E-1 1.441970E+1 4.013620E-1 7.635780E+1 5.313099E-1 1.687910E+1 4.127290E-1 7.697250E+1 1.1443773E+01 1.4570682E+01 2.7541074E+00 7.9859690E-01
4.642000E+12 4.354416E-1 1.305060E+1 3.941320E-1 7.604330E+1 4.987493E-1 1.553040E+1 4.061160E-1 7.667450E+1 1.2693291E+01 1.5967393E+01 2.9508810E+00 8.2322024E-01
6.813000E+12 3.996142E-1 1.169510E+1 3.866820E-1 7.568490E+1 4.648636E-1 1.417190E+1 3.993710E-1 7.633530E+1 1.4036246E+01 1.7476838E+01 3.1772462E+00 8.5203045E-01
1.000000E+13 3.636022E-1 1.037330E+1 3.789960E-1 7.527630E+1 4.298526E-1 1.281170E+1 3.922830E-1 7.597810E+1 1.5412353E+01 1.9032603E+01 3.3870955E+00 9.2368722E-01
1.468000E+13 3.280516E-1 9.106400E+0 3.709880E-1 7.482450E+1 3.941479E-1 1.146640E+1 3.849050E-1 7.558140E+1 1.6769416E+01 2.0581874E+01 3.6156974E+00 1.0014369E+00
2.154000E+13 2.935912E-1 7.912900E+0 3.626300E-1 7.432410E+1 3.583352E-1 1.015630E+1 3.772600E-1 7.512840E+1 1.8067999E+01 2.2088753E+01 3.8779621E+00 1.0705672E+00
3.162000E+13 2.607763E-1 6.807500E+0 3.539470E-1 7.375280E+1 3.230529E-1 8.902000E+0 3.693320E-1 7.461010E+1 1.9277524E+01 2.3528421E+01 4.1656288E+00 1.1490401E+00
4.642000E+13 2.300539E-1 5.799900E+0 3.448960E-1 7.309760E+1 2.889145E-1 7.721700E+0 3.610280E-1 7.402950E+1 2.0373017E+01 2.4888302E+01 4.4683515E+00 1.2588225E+00
6.813000E+13 2.017469E-1 4.895200E+0 3.354090E-1 7.234170E+1 2.564573E-1 6.629700E+0 3.523470E-1 7.336810E+1 2.1333142E+01 2.6162571E+01 4.8071929E+00 1.3989731E+00
1.000000E+14 1.760510E-1 4.093700E+0 3.253840E-1 7.146370E+1 2.261097E-1 5.635200E+0 3.432940E-1 7.259760E+1 2.2139121E+01 2.7354841E+01 5.2171025E+00 1.5618974E+00
