Fe JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
1.000000E+10 7.505542E-1 3.112600E+1 5.158600E-1 8.039150E+1 7.529490E-1 3.135080E+1 5.146840E-1 8.089900E+1 3.1805607E-01 7.1704709E-01 -2.2848971E-01 6.2732543E-01
1.468000E+10 7.480948E-1 3.087500E+1 5.148570E-1 8.016130E+1 7.515709E-1 3.119290E+1 5.133040E-1 8.085580E+1 4.6251125E-01 1.0191422E+00 -3.0254976E-01 8.5893653E-01
2.154000E+10 7.445644E-1 3.053140E+1 5.133790E-1 7.987420E+1 7.495750E-1 3.097320E+1 5.114320E-1 8.079470E+1 6.6845879E-01 1.4263944E+00 -3.8069577E-01 1.1393074E+00
3.162000E+10 7.395469E-1 3.007060E+1 5.111980E-1 7.954040E+1 7.467023E-1 3.067320E+1 5.088910E-1 8.072110E+1 9.5826677E-01 1.9645815E+00 -4.5333873E-01 1.4626907E+00
4.642000E+10 7.325153E-1 2.947050E+1 5.078960E-1 7.921310E+1 7.426031E-1 3.027250E+1 5.055670E-1 8.063320E+1 1.3584376E+00 2.6492691E+00 -4.6067089E-01 1.7611852E+00
6.813000E+10 7.228516E-1 2.871410E+1 5.031420E-1 7.895060E+1 7.368254E-1 2.975090E+1 5.015300E-1 8.050800E+1 1.8964873E+00 3.4849366E+00 -3.2141647E-01 1.9344661E+00
1.000000E+11 7.099167E-1 2.779000E+1 4.966300E-1 7.882220E+1 7.288191E-1 2.909040E+1 4.966130E-1 8.037340E+1 2.5935654E+00 4.4702032E+00 -3.4231887E-03 1.9299918E+00
1.468000E+11 6.931891E-1 2.670140E+1 4.886110E-1 7.883510E+1 7.179779E-1 2.827790E+1 4.910810E-1 8.020160E+1 3.4525854E+00 5.5750250E+00 5.0297201E-01 1.7038313E+00
2.154000E+11 6.724539E-1 2.546420E+1 4.799350E-1 7.890140E+1 7.037344E-1 2.730840E+1 4.848960E-1 8.002740E+1 4.4449298E+00 6.7532334E+00 1.0231060E+00 1.4070181E+00
3.162000E+11 6.479598E-1 2.411060E+1 4.714500E-1 7.892700E+1 6.857121E-1 2.618820E+1 4.784510E-1 7.982280E+1 5.5055613E+00 7.9333440E+00 1.4632637E+00 1.1222358E+00
4.642000E+11 6.204040E-1 2.268400E+1 4.635400E-1 7.887840E+1 6.638895E-1 2.493780E+1 4.718360E-1 7.961080E+1 6.5501111E+00 9.0376858E+00 1.7582380E+00 9.1997568E-01
6.813000E+11 5.906771E-1 2.122460E+1 4.562300E-1 7.876010E+1 6.386773E-1 2.359010E+1 4.651980E-1 7.939820E+1 7.5155638E+00 1.0027512E+01 1.9277813E+00 8.0367061E-01
1.000000E+12 5.594976E-1 1.975850E+1 4.493870E-1 7.858410E+1 6.108110E-1 2.218350E+1 4.587610E-1 7.916580E+1 8.4008638E+00 1.0931548E+01 2.0433298E+00 7.3478699E-01
1.468000E+12 5.271961E-1 1.829340E+1 4.426650E-1 7.838750E+1 5.810695E-1 2.075060E+1 4.524010E-1 7.893690E+1 9.2714211E+00 1.1841585E+01 2.1520731E+00 6.9599896E-01
2.154000E+12 4.937943E-1 1.682590E+1 4.359470E-1 7.816270E+1 5.499861E-1 1.930930E+1 4.460970E-1 7.870220E+1 1.0216949E+01 1.2861160E+01 2.2752899E+00 6.8549545E-01
3.162000E+12 4.592704E-1 1.535380E+1 4.291630E-1 7.789810E+1 5.177498E-1 1.786300E+1 4.398660E-1 7.843580E+1 1.1294915E+01 1.4046913E+01 2.4332410E+00 6.8552880E-01
4.642000E+12 4.237880E-1 1.388390E+1 4.221080E-1 7.761420E+1 4.843479E-1 1.640880E+1 4.333640E-1 7.817490E+1 1.2503389E+01 1.5387475E+01 2.5973546E+00 7.1723789E-01
6.813000E+12 3.877578E-1 1.243260E+1 4.147910E-1 7.729890E+1 4.498112E-1 1.494790E+1 4.267040E-1 7.787950E+1 1.3795432E+01 1.6827113E+01 2.7918651E+00 7.4551069E-01
1.000000E+13 3.517620E-1 1.102150E+1 4.072490E-1 7.693640E+1 4.143810E-1 1.349040E+1 4.198640E-1 7.753810E+1 1.5111455E+01 1.8301162E+01 3.0045443E+00 7.7600560E-01
1.468000E+13 3.164404E-1 9.672800E+0 3.994670E-1 7.652040E+1 3.785212E-1 1.205460E+1 4.126200E-1 7.718150E+1 1.6400878E+01 1.9758432E+01 3.1876787E+00 8.5655241E-01
2.154000E+13 2.824021E-1 8.405800E+0 3.913280E-1 7.606200E+1 3.428299E-1 1.066280E+1 4.051080E-1 7.677520E+1 1.7626176E+01 2.1167048E+01 3.4015621E+00 9.2894581E-01
3.162000E+13 2.501706E-1 7.235400E+0 3.828510E-1 7.554350E+1 3.079359E-1 9.336200E+0 3.973290E-1 7.630620E+1 1.8758872E+01 2.2501660E+01 3.6438317E+00 9.9952560E-01
4.642000E+13 2.201535E-1 6.171100E+0 3.740280E-1 7.494370E+1 2.744239E-1 8.093300E+0 3.892660E-1 7.576330E+1 1.9776120E+01 2.3750510E+01 3.9145469E+00 1.0817903E+00
6.813000E+13 1.926312E-1 5.217300E+0 3.647940E-1 7.424600E+1 2.427875E-1 6.947900E+0 3.808300E-1 7.514440E+1 2.0658518E+01 2.4908246E+01 4.2108027E+00 1.1955648E+00
1.000000E+14 1.677602E-1 4.373600E+0 3.550480E-1 7.342890E+1 2.134032E-1 5.908600E+0 3.720020E-1 7.442860E+1 2.1388152E+01 2.5979081E+01 4.5575024E+00 1.3431665E+00
