fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0DT0 6:41 292 39.71 1.000E+000 1.801E+000 4.739E-006 6.576E+002 2.668E+000 2.561E-008 5.479E-004 
0DT1 6:44 292 39.71 1.000E+000 1.816E+000 4.583E-006 6.576E+002 2.685E+000 2.490E-008 6.183E-004 
0DT2 6:48 292 39.71 1.000E+000 1.781E+000 4.805E-006 6.576E+002 2.640E+000 2.723E-008 1.162E-003 
0DT3 6:52 292 39.71 1.000E+000 1.860E+000 4.253E-006 6.576E+002 2.710E+000 2.357E-008 6.416E-004 
0DT4 6:55 292.1 39.69 1.000E+000 1.790E+000 4.701E-006 6.581E+002 2.663E+000 2.598E-008 1.477E-003 
0DT5 6:58 292.1 39.69 1.000E+000 1.869E+000 4.067E-006 6.581E+002 2.696E+000 2.443E-008 6.200E-004 
0DT6 7:2 292.2 39.68 1.000E+000 1.795E+000 4.614E-006 6.586E+002 2.658E+000 2.659E-008 1.312E-003 
0DT7 7:6 292.3 39.67 1.000E+000 1.886E+000 4.407E-006 6.591E+002 2.657E+000 2.669E-008 1.212E-003 
0DT8 7:8 292.3 39.67 1.000E+000 1.766E+000 4.891E-006 6.591E+002 2.647E+000 2.710E-008 1.446E-003 
0DT9 7:11 292.3 39.67 1.000E+000 1.819E+000 4.354E-006 6.591E+002 2.700E+000 2.423E-008 9.130E-004 
