name time T kT_1 I
00 9:03:28 286.3 40.5 4.208E-006
00 9:21:54 289.7 40.02 4.079E-006
00 9:45:02 292.5 39.64 3.977E-006
00 10:02:30 293.9 39.45 3.916E-006
001 10:28:08 298.5 38.84 3.764E-006
001 10:50:12 302.7 38.3 3.634E-006
001 11:07:02 304.8 38.04 3.558E-006
001 11:25:00 307.2 37.74 3.476E-006
001 11:46:56 310.5 37.34 3.348E-006
002 12:11:12 314.5 36.87 3.191E-006
002 12:22:14 315.3 36.77 3.113E-006
002 12:42:26 318.7 36.38 2.976E-006
002 13:03:48 322.1 36 2.801E-006
002 13:21:02 324.3 35.75 2.644E-006
003 13:39:46 327.8 35.37 2.579E-006
003 14:00:16 332.1 34.91 2.236E-006
003 14:13:28 332.3 34.89 2.212E-006
