name time T kT_1 I
00 9:03:28 286.3 40.5 1.922E-003
00 9:21:54 289.7 40.02 2.126E-003
00 9:45:02 292.5 39.64 2.316E-003
00 10:02:30 293.9 39.45 2.392E-003
001 10:28:08 298.5 38.84 2.657E-003
001 10:50:12 302.7 38.3 2.816E-003
001 11:07:02 304.8 38.04 2.723E-003
001 11:25:00 307.2 37.74 2.751E-003
001 11:46:56 310.5 37.34 2.864E-003
002 12:11:12 314.5 36.87 2.996E-003
002 12:22:14 315.3 36.77 2.535E-003
002 12:42:26 318.7 36.38 2.650E-003
002 13:03:48 322.1 36 2.787E-003
002 13:21:02 324.3 35.75 2.879E-003
003 13:39:46 327.8 35.37 3.041E-003
003 14:00:16 332.1 34.91 3.252E-003
003 14:13:28 332.3 34.89 3.316E-003
