name time T kT_1 I
00 9:03:28 286.3 40.5 9.967E-004
00 9:21:54 289.7 40.02 1.076E-003
00 9:45:02 292.5 39.64 1.158E-003
00 10:02:30 293.9 39.45 1.192E-003
001 10:28:08 298.5 38.84 1.306E-003
001 10:50:12 302.7 38.3 1.379E-003
001 11:07:02 304.8 38.04 1.340E-003
001 11:25:00 307.2 37.74 1.355E-003
001 11:46:56 310.5 37.34 1.423E-003
002 12:11:12 314.5 36.87 1.482E-003
002 12:22:14 315.3 36.77 1.262E-003
002 12:42:26 318.7 36.38 1.324E-003
002 13:03:48 322.1 36 1.346E-003
002 13:21:02 324.3 35.75 1.433E-003
003 13:39:46 327.8 35.37 1.530E-003
003 14:00:16 332.1 34.91 1.633E-003
003 14:13:28 332.3 34.89 1.663E-003
