T nFsrh nFBsrh dnsrh nF nFB dn
290 1.150535618E+00 1.000002852E+0 1.505327660E-01 1.150535618E+00 1.000002852E+0 1.505327660E-01
295 1.155072075E+00 1.000002753E+0 1.550693220E-01 1.155072075E+00 1.000002753E+0 1.550693220E-01
300 1.158073752E+00 1.000002661E+0 1.580710910E-01 1.158073752E+00 1.000002661E+0 1.580710910E-01
305 1.143009556E+00 1.000002576E+0 1.430069800E-01 1.143009556E+00 1.000002576E+0 1.430069800E-01
310 1.124317125E+00 1.000002497E+0 1.243146280E-01 1.124317125E+00 1.000002497E+0 1.243146280E-01
315 1.103184737E+00 1.000002423E+0 1.031823140E-01 1.103184737E+00 1.000002423E+0 1.031823140E-01
320 1.084522753E+00 1.000002355E+0 8.452039800E-02 1.084522753E+00 1.000002355E+0 8.452039800E-02
325 1.018462628E+00 1.000002290E+0 1.846033800E-02 1.018462628E+00 1.000002290E+0 1.846033800E-02
330 1.016891881E+00 1.000002230E+0 1.688965100E-02 1.016891881E+00 1.000002230E+0 1.688965100E-02
335 1.015722484E+00 1.000002174E+0 1.572031000E-02 1.015722484E+00 1.000002174E+0 1.572031000E-02
340 1.017873104E+00 1.000002121E+0 1.787098300E-02 1.017873104E+00 1.000002121E+0 1.787098300E-02
