name time T kT_1 I
00 9:03:28 286.3 40.5 6.836E-005
00 9:21:54 289.7 40.02 7.549E-005
00 9:45:02 292.5 39.64 8.401E-005
00 10:02:30 293.9 39.45 8.633E-005
001 10:28:08 298.5 38.84 9.999E-005
001 10:50:12 302.7 38.3 1.126E-004
001 11:07:02 304.8 38.04 1.145E-004
001 11:25:00 307.2 37.74 1.218E-004
001 11:46:56 310.5 37.34 1.333E-004
002 12:11:12 314.5 36.87 1.483E-004
002 12:22:14 315.3 36.77 1.396E-004
002 12:42:26 318.7 36.38 1.491E-004
002 13:03:48 322.1 36 1.627E-004
002 13:21:02 324.3 35.75 1.729E-004
003 13:39:46 327.8 35.37 1.910E-004
003 14:00:16 332.1 34.91 2.141E-004
003 14:13:28 332.3 34.89 2.122E-004
