name time T kT_1 I
00 9:03:28 286.3 40.5 5.550E+002
00 9:21:54 289.7 40.02 5.550E+002
00 9:45:02 292.5 39.64 5.550E+002
00 10:02:30 293.9 39.45 5.550E+002
001 10:28:08 298.5 38.84 5.550E+002
001 10:50:12 302.7 38.3 5.550E+002
001 11:07:02 304.8 38.04 5.550E+002
001 11:25:00 307.2 37.74 5.550E+002
001 11:46:56 310.5 37.34 5.550E+002
002 12:11:12 314.5 36.87 5.550E+002
002 12:22:14 315.3 36.77 5.550E+002
002 12:42:26 318.7 36.38 5.550E+002
002 13:03:48 322.1 36 5.550E+002
002 13:21:02 324.3 35.75 5.550E+002
003 13:39:46 327.8 35.37 5.550E+002
003 14:00:16 332.1 34.91 5.550E+002
003 14:13:28 332.3 34.89 5.550E+002
