name time T kT_1 Voc
00 9:03:28 286.3 40.5 3.518E-001
00 9:21:54 289.7 40.02 3.460E-001
00 9:45:02 292.5 39.64 3.397E-001
00 10:02:30 293.9 39.45 3.371E-001
001 10:28:08 298.5 38.84 3.289E-001
001 10:50:12 302.7 38.3 3.185E-001
001 11:07:02 304.8 38.04 3.128E-001
001 11:25:00 307.2 37.74 3.070E-001
001 11:46:56 310.5 37.34 3.007E-001
002 12:11:12 314.5 36.87 2.898E-001
002 12:22:14 315.3 36.77 2.865E-001
002 12:42:26 318.7 36.38 2.791E-001
002 13:03:48 322.1 36 2.709E-001
002 13:21:02 324.3 35.75 2.890E-001
003 13:39:46 327.8 35.37 2.557E-001
003 14:00:16 332.1 34.91 2.455E-001
003 14:13:28 332.3 34.89 2.452E-001
