N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 3.162E+16 305 3.800E-4 3.705046E+1 1.820070E+1 5.965620E-1 8.234540E+1
1.468000E+10 3.162E+16 305 3.800E-4 3.690640E+1 1.811300E+1 5.960710E-1 8.233630E+1
2.154000E+10 3.162E+16 305 3.800E-4 3.671075E+1 1.799410E+1 5.954080E-1 8.232310E+1
3.162000E+10 3.162E+16 305 3.800E-4 3.645264E+1 1.783010E+1 5.945370E-1 8.227070E+1
4.642000E+10 3.162E+16 305 3.800E-4 3.612415E+1 1.763140E+1 5.934320E-1 8.224640E+1
6.813000E+10 3.162E+16 305 3.800E-4 3.572319E+1 1.738970E+1 5.920820E-1 8.221650E+1
1.000000E+11 3.162E+16 305 3.800E-4 3.525503E+1 1.710820E+1 5.904890E-1 8.218080E+1
1.468000E+11 3.162E+16 305 3.800E-4 3.473071E+1 1.679310E+1 5.885950E-1 8.214850E+1
2.154000E+11 3.162E+16 305 3.800E-4 3.416251E+1 1.645090E+1 5.864680E-1 8.211000E+1
3.162000E+11 3.162E+16 305 3.800E-4 3.355910E+1 1.607910E+1 5.841370E-1 8.202340E+1
4.642000E+11 3.162E+16 305 3.800E-4 3.292352E+1 1.569380E+1 5.815900E-1 8.196060E+1
6.813000E+11 3.162E+16 305 3.800E-4 3.225494E+1 1.528850E+1 5.787370E-1 8.190040E+1
1.000000E+12 3.162E+16 305 3.800E-4 3.154965E+1 1.486080E+1 5.755710E-1 8.183660E+1
1.468000E+12 3.162E+16 305 3.800E-4 3.080557E+1 1.440330E+1 5.721800E-1 8.171450E+1
2.154000E+12 3.162E+16 305 3.800E-4 3.002112E+1 1.393090E+1 5.684700E-1 8.162890E+1
3.162000E+12 3.162E+16 305 3.800E-4 2.919562E+1 1.343690E+1 5.644460E-1 8.153790E+1
4.642000E+12 3.162E+16 305 3.800E-4 2.832927E+1 1.291620E+1 5.602330E-1 8.138260E+1
6.813000E+12 3.162E+16 305 3.800E-4 2.742313E+1 1.238440E+1 5.556220E-1 8.127930E+1
1.000000E+13 3.162E+16 305 3.800E-4 2.647928E+1 1.183020E+1 5.508750E-1 8.110240E+1
1.468000E+13 3.162E+16 305 3.800E-4 2.550080E+1 1.126970E+1 5.457780E-1 8.097370E+1
2.154000E+13 3.162E+16 305 3.800E-4 2.449181E+1 1.069360E+1 5.405670E-1 8.077020E+1
3.162000E+13 3.162E+16 305 3.800E-4 2.345743E+1 1.011740E+1 5.350230E-1 8.061520E+1
4.642000E+13 3.162E+16 305 3.800E-4 2.240373E+1 9.533500E+0 5.293900E-1 8.038140E+1
6.813000E+13 3.162E+16 305 3.800E-4 2.133758E+1 8.957100E+0 5.234760E-1 8.019090E+1
1.000000E+14 3.162E+16 305 3.800E-4 2.026653E+1 8.381500E+0 5.174280E-1 7.992730E+1
