x N
1.4124524E+0 1.5417793E+21
1.4012640E+0 1.6280674E+21
1.3911854E+0 1.6593603E+21
1.3802319E+0 1.5222702E+21
1.3680745E+0 1.5055967E+21
1.3566743E+0 1.5496105E+21
1.3449848E+0 1.5030794E+21
1.3326598E+0 1.4943383E+21
1.3206147E+0 1.4915645E+21
1.3080139E+0 1.4998385E+21
1.2958784E+0 1.5105033E+21
1.2832127E+0 1.4471326E+21
1.2697326E+0 1.4703259E+21
1.2572244E+0 1.5049216E+21
1.2440727E+0 1.4875634E+21
1.2309982E+0 1.4866196E+21
1.2175462E+0 1.4767402E+21
1.2040023E+0 1.5015588E+21
1.1907016E+0 1.4759146E+21
1.1763715E+0 1.4558417E+21
1.1623647E+0 1.5081350E+21
1.1486876E+0 1.4913074E+21
1.1340189E+0 1.4785194E+21
1.1197444E+0 1.4824747E+21
1.1047707E+0 1.4777038E+21
1.0900162E+0 1.4861503E+21
1.0748021E+0 1.4945830E+21
1.0598043E+0 1.5106736E+21
1.0444813E+0 1.5100535E+21
1.0290289E+0 1.5040644E+21
1.0131142E+0 1.4773128E+21
9.9658965E-1 1.4933720E+21
9.8050882E-1 1.5271927E+21
9.6417198E-1 1.5163161E+21
9.4730053E-1 1.5150198E+21
9.3035131E-1 1.5110393E+21
9.1276254E-1 1.4701363E+21
8.9416069E-1 1.4506467E+21
8.7533885E-1 1.4353779E+21
8.5550812E-1 1.4232510E+21
8.3547153E-1 1.4325448E+21
