fname V Rs Rt Qt nt Rr Qr nr rmsre
d44bm1V2n1 -1.2 5.5758073E+0 1.1382707E+3 1.5873656E-9 1.0000000E+0 4.6104140E+3 1.1808356E-9 9.7421691E-1 1.8400716E-2
d44bm1V1n1 -1.1 5.7904652E+0 1.1296104E+3 1.6021363E-9 1.0000000E+0 5.0392410E+3 1.3537111E-9 9.6598446E-1 1.5481616E-2
d44bm1Vn1 -1 5.9265163E+0 1.1739838E+3 1.6497243E-9 9.9899105E-1 5.3710973E+3 1.3346386E-9 9.7033950E-1 1.7795925E-2
d44bm0V9n1 -0.9 5.7605945E+0 1.2075293E+3 1.7139257E-9 9.9726061E-1 5.7998060E+3 1.3135368E-9 9.7461293E-1 1.9502215E-2
d44bm0V8n1 -0.8 4.6434850E+0 1.3587927E+3 2.1278130E-9 9.8394804E-1 6.2884867E+3 1.1397704E-9 9.8346523E-1 1.9110397E-2
d44bm0V7n1 -0.7 5.0849192E+0 1.3717883E+3 2.1074910E-9 9.8572952E-1 6.8773027E+3 1.1512121E-9 9.8753552E-1 2.2644375E-2
d44bm0V6n1 -0.6 4.5853651E+0 1.4658111E+3 2.3548081E-9 9.7960530E-1 7.6095966E+3 1.0706289E-9 9.9505071E-1 2.1708235E-2
d44bm0V5n1 -0.5 5.0602144E+0 1.4226631E+3 2.2806982E-9 9.8293813E-1 8.6226873E+3 1.2098807E-9 9.9133093E-1 2.6083900E-2
d44bm0V4n1 -0.4 4.4400646E+0 1.5057666E+3 2.5981345E-9 9.7586356E-1 9.8836659E+3 1.1404312E-9 9.9846070E-1 2.3398064E-2
d44bm0V3n1 -0.3 3.9111284E+0 1.5181989E+3 2.8547005E-9 9.7109317E-1 1.1394480E+4 1.1786954E-9 1.0000000E+0 2.3929495E-2
d44bm0V2n1 -0.2 3.8051287E+0 1.5102430E+3 3.0709599E-9 9.6824268E-1 1.3358802E+4 1.2631628E-9 1.0000000E+0 2.3585465E-2
d44bm0V1n1 -0.1 3.9730957E+0 1.4470596E+3 3.1763987E-9 9.6811993E-1 1.5311538E+4 1.3997600E-9 1.0000000E+0 2.5516319E-2
d44b0Vn1 0 3.4082233E+0 1.4160900E+3 3.6268643E-9 9.6173135E-1 1.5154145E+4 1.5446633E-9 1.0000000E+0 2.4868597E-2
d44b0V1n1 0.1 2.1425684E+0 1.3732297E+3 4.6054917E-9 9.4854481E-1 1.0383177E+4 1.7831401E-9 1.0000000E+0 2.0491187E-2
d44b0V2n1 0.2 1.0000001E-7 1.3208895E+3 6.5592148E-9 9.2799944E-1 3.9759400E+3 2.4278408E-9 1.0000000E+0 1.3446718E-2
d44b0V3n1 0.3 1.0000000E-7 1.1116714E+3 7.2608071E-9 9.2452128E-1 8.6102020E+2 6.7613086E-9 9.7414922E-1 5.0687128E-3
