X Y Yfit
-1.012E-9 -2.335E-4 5.275E-3 -2.335E-4
8.709E-3 -2.328E-4 1.055E-2 -2.328E-4
1.862E-2 -2.318E-4 1.792E-2 -2.318E-4
2.843E-2 -2.305E-4 2.722E-2 -2.305E-4
3.826E-2 -2.290E-4 3.758E-2 -2.290E-4
4.782E-2 -2.275E-4 4.753E-2 -2.275E-4
5.930E-2 -2.258E-4 5.834E-2 -2.258E-4
6.886E-2 -2.240E-4 6.927E-2 -2.240E-4
7.891E-2 -2.223E-4 7.911E-2 -2.223E-4
8.837E-2 -2.204E-4 8.960E-2 -2.204E-4
9.829E-2 -2.185E-4 9.957E-2 -2.185E-4
1.093E-1 -2.165E-4 1.095E-1 -2.165E-4
1.194E-1 -2.144E-4 1.195E-1 -2.144E-4
1.292E-1 -2.121E-4 1.298E-1 -2.121E-4
1.389E-1 -2.097E-4 1.399E-1 -2.097E-4
1.491E-1 -2.075E-4 1.488E-1 -2.075E-4
1.601E-1 -2.046E-4 1.597E-1 -2.046E-4
1.700E-1 -2.018E-4 1.697E-1 -2.018E-4
1.796E-1 -1.988E-4 1.797E-1 -1.988E-4
1.895E-1 -1.961E-4 1.882E-1 -1.961E-4
1.996E-1 -1.926E-4 1.986E-1 -1.926E-4
2.093E-1 -1.889E-4 2.090E-1 -1.889E-4
2.203E-1 -1.847E-4 2.199E-1 -1.847E-4
2.304E-1 -1.807E-4 2.297E-1 -1.807E-4
2.399E-1 -1.763E-4 2.397E-1 -1.763E-4
2.499E-1 -1.713E-4 2.505E-1 -1.713E-4
2.597E-1 -1.664E-4 2.603E-1 -1.664E-4
2.707E-1 -1.610E-4 2.705E-1 -1.610E-4
2.807E-1 -1.546E-4 2.818E-1 -1.546E-4
2.906E-1 -1.486E-4 2.918E-1 -1.486E-4
3.005E-1 -1.426E-4 3.011E-1 -1.426E-4
3.105E-1 -1.355E-4 3.116E-1 -1.355E-4
3.213E-1 -1.279E-4 3.222E-1 -1.279E-4
3.312E-1 -1.200E-4 3.325E-1 -1.200E-4
3.410E-1 -1.124E-4 3.420E-1 -1.124E-4
3.507E-1 -1.047E-4 3.511E-1 -1.047E-4
3.604E-1 -9.523E-5 3.618E-1 -9.523E-5
3.717E-1 -8.592E-5 3.718E-1 -8.592E-5
3.815E-1 -7.591E-5 3.821E-1 -7.591E-5
3.915E-1 -6.635E-5 3.915E-1 -6.635E-5
4.014E-1 -5.740E-5 4.000E-1 -5.740E-5
4.211E-1 -3.532E-5 4.199E-1 -3.532E-5
4.420E-1 -1.162E-5 4.400E-1 -1.162E-5
4.618E-1 1.353E-5 4.601E-1 1.353E-5
4.829E-1 3.979E-5 4.802E-1 3.979E-5
5.025E-1 6.731E-5 5.005E-1 6.731E-5
5.530E-1 1.405E-4 5.528E-1 1.405E-4
6.034E-1 2.114E-4 6.031E-1 2.114E-4
6.539E-1 2.838E-4 6.558E-1 2.838E-4
7.043E-1 3.504E-4 7.066E-1 3.504E-4
7.547E-1 4.127E-4 7.566E-1 4.127E-4
8.054E-1 4.732E-4 8.075E-1 4.732E-4
8.557E-1 5.304E-4 8.576E-1 5.304E-4
9.064E-1 5.852E-4 9.071E-1 5.852E-4
9.565E-1 6.375E-4 9.555E-1 6.375E-4
1.006E+0 6.870E-4 1.002E+0 6.870E-4
