fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
DL0 6:59 295.9 39.18 1.468E+000 5.737E-006 1.629E-012 2.752 0.8404 1.467E+004 1.436E-004 0.2214 1.435E-004 1.366E-005 0.4299 
DL1 7:2 295.9 39.18 1.468E+000 5.871E-006 2.879E-012 2.77 0.8616 1.467E+004 1.435E-004 0.2212 1.434E-004 1.360E-005 0.4287 
DL2 7:5 295.9 39.18 1.468E+000 5.682E-006 1.935E-012 2.747 0.847 1.467E+004 1.438E-004 0.2217 1.437E-004 1.371E-005 0.4304 
DL3 7:7 295.9 39.18 1.468E+000 5.934E-006 3.051E-012 2.775 0.8645 1.467E+004 1.443E-004 0.2213 1.442E-004 1.368E-005 0.4286 
DL4 7:9 295.9 39.18 1.468E+000 5.754E-006 1.873E-012 2.754 0.8453 1.467E+004 1.438E-004 0.2214 1.437E-004 1.368E-005 0.4298 
DL5 7:13 295.9 39.18 1.468E+000 5.933E-006 3.566E-012 2.776 0.8705 1.467E+004 1.446E-004 0.2216 1.446E-004 1.374E-005 0.4288 
DL6 7:16 295.9 39.18 1.468E+000 5.804E-006 2.112E-012 2.76 0.8497 1.467E+004 1.446E-004 0.2217 1.446E-004 1.378E-005 0.4298 
DL7 7:18 295.9 39.18 1.468E+000 5.718E-006 1.589E-012 2.749 0.8401 1.467E+004 1.445E-004 0.2219 1.445E-004 1.380E-005 0.4305 
DL8 7:21 295.9 39.18 1.468E+000 5.787E-006 1.949E-012 2.757 0.8472 1.467E+004 1.445E-004 0.2217 1.445E-004 1.377E-005 0.4299 
DL9 7:23 295.9 39.18 1.468E+000 5.689E-006 1.855E-012 2.746 0.8453 1.467E+004 1.444E-004 0.2219 1.444E-004 1.380E-005 0.4307 
