fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
0DT0 8:48:06 308 37.64 1.000E+000 1.208E+000 2.665E-010 4.504E+002 2.571E+000 3.658E-006 3.322E-004 
0DT1 8:50:14 307.9 37.66 1.000E+000 1.231E+000 2.660E-010 4.502E+002 2.604E+000 3.829E-006 4.238E-004 
0DT2 8:52:04 307.9 37.66 1.000E+000 1.244E+000 2.661E-010 4.502E+002 2.607E+000 3.846E-006 3.317E-004 
0DT3 8:53:52 307.9 37.66 1.000E+000 1.209E+000 2.611E-010 4.502E+002 2.595E+000 3.783E-006 3.180E-004 
0DT4 8:55:32 308 37.64 1.000E+000 1.238E+000 2.681E-010 4.504E+002 2.611E+000 3.900E-006 3.292E-004 
0DT5 8:57:24 307.9 37.66 1.000E+000 1.222E+000 2.617E-010 4.502E+002 2.598E+000 3.804E-006 3.932E-004 
0DT6 8:59:20 307.8 37.67 1.000E+000 1.231E+000 2.580E-010 4.499E+002 2.599E+000 3.782E-006 3.179E-004 
0DT7 9:01:12 307.8 37.67 1.000E+000 1.221E+000 2.567E-010 4.499E+002 2.606E+000 3.830E-006 3.400E-004 
0DT8 9:03:08 307.9 37.66 1.000E+000 1.217E+000 2.604E-010 4.502E+002 2.609E+000 3.861E-006 3.088E-004 
0DT9 9:05:20 308.2 37.62 1.000E+000 1.227E+000 2.712E-010 4.510E+002 2.613E+000 3.940E-006 2.970E-004 
0T00 8:16:28 293.7 39.48 1.000E+000 1.077E+000 2.630E-011 4.108E+002 2.731E+000 2.142E-006 3.393E-004 
