N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.778E+15 325 1.500E-4 1.038067091E+00 1.035950260E+00
1.468000E+10 1.778E+15 325 1.500E-4 1.038687192E+00 1.036496879E+00
2.154000E+10 1.778E+15 325 1.500E-4 1.039603279E+00 1.037295777E+00
3.162000E+10 1.778E+15 325 1.500E-4 1.040801263E+00 1.040928589E+00
4.642000E+10 1.778E+15 325 1.500E-4 1.042494615E+00 1.042579358E+00
6.813000E+10 1.778E+15 325 1.500E-4 1.044912605E+00 1.012247571E+00
1.000000E+11 1.778E+15 325 1.500E-4 1.048366737E+00 1.048402877E+00
1.468000E+11 1.778E+15 325 1.500E-4 1.053269294E+00 1.053292335E+00
2.154000E+11 1.778E+15 325 1.500E-4 1.060138940E+00 1.060153421E+00
3.162000E+11 1.778E+15 325 1.500E-4 1.101577100E+00 1.101595488E+00
4.642000E+11 1.778E+15 325 1.500E-4 1.112353682E+00 1.112366442E+00
6.813000E+11 1.778E+15 325 1.500E-4 1.122755461E+00 1.122763649E+00
1.000000E+12 1.778E+15 325 1.500E-4 1.125830796E+00 1.125845591E+00
1.468000E+12 1.778E+15 325 1.500E-4 1.135080017E+00 1.135084884E+00
2.154000E+12 1.778E+15 325 1.500E-4 1.148321388E+00 1.148321979E+00
3.162000E+12 1.778E+15 325 1.500E-4 1.151640939E+00 1.151645870E+00
4.642000E+12 1.778E+15 325 1.500E-4 1.165054778E+00 1.165059715E+00
6.813000E+12 1.778E+15 325 1.500E-4 1.170260759E+00 1.170263687E+00
1.000000E+13 1.778E+15 325 1.500E-4 1.171541827E+00 1.171545741E+00
