N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.155072952E+00 1.145225836E+00 1.135556802E+00 1.125278081E+00
1.600000000E+01 1.248521723E+00 1.246304284E+00 1.244324996E+00 1.241389272E+00
1.700000000E+01 1.285318099E+00 1.283197087E+00 1.280657509E+00 1.280059914E+00
1.549996187E+01 1.225217111E+00 1.221124927E+00 1.218994899E+00 1.216293583E+00
1.649996187E+01 1.267453218E+00 1.265137683E+00 1.263822613E+00 1.262337815E+00
1.674996808E+01 1.276638991E+00 1.273283266E+00 1.272455617E+00 1.271386277E+00
1.624993176E+01 1.257879286E+00 1.256071835E+00 1.254272744E+00 1.252702327E+00
1.574996808E+01 1.238046587E+00 1.235490819E+00 1.232359830E+00 1.230529919E+00
1.524993176E+01 1.204220614E+00 1.199200657E+00 1.194952267E+00 1.190769102E+00
