fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
00L1 7:4 297.3 39 1.000E+000 3.552E+000 3.872E-011 6.832E+002 2.790E+000 4.262E-006 1.729E-004 1.079E-001 1.720E-004 4.783E-006 2.578E-001 5.490E-002 8.696E-005 1.184E-003 
00L2 7:26 300.5 38.58 1.000E+000 3.467E+000 6.497E-011 6.987E+002 2.752E+000 4.772E-006 1.751E-004 1.101E-001 1.742E-004 4.970E-006 2.593E-001 5.630E-002 8.812E-005 1.934E-002 
00L3 7:47 303.6 38.19 1.000E+000 3.608E+000 1.142E-010 7.135E+002 2.724E+000 5.387E-006 1.759E-004 1.111E-001 1.750E-004 5.070E-006 2.607E-001 5.700E-002 8.879E-005 1.378E-003 
00L4 8:8 307.2 37.74 1.000E+000 3.583E+000 2.020E-010 7.305E+002 2.684E+000 6.133E-006 1.771E-004 1.122E-001 1.762E-004 5.192E-006 2.626E-001 5.780E-002 8.967E-005 1.606E-003 
00L5 8:28 310 37.4 1.000E+000 3.447E+000 3.205E-010 7.433E+002 2.698E+000 7.353E-006 1.763E-004 1.110E-001 1.754E-004 5.147E-006 2.642E-001 5.740E-002 8.951E-005 1.996E-002 
00L6 8:45 313.7 36.96 1.000E+000 3.428E+000 5.823E-010 7.595E+002 2.682E+000 8.697E-006 1.776E-004 1.110E-001 1.767E-004 5.225E-006 2.664E-001 5.760E-002 9.056E-005 1.183E-002 
00L7 9:3 315.2 36.78 1.000E+000 3.314E+000 6.960E-010 7.659E+002 2.627E+000 8.735E-006 1.759E-004 1.101E-001 1.750E-004 5.146E-006 2.671E-001 5.720E-002 8.981E-005 1.562E-002 
00L8 9:22 318.9 36.36 1.000E+000 3.373E+000 1.229E-009 7.807E+002 2.626E+000 1.063E-005 1.797E-004 1.103E-001 1.789E-004 5.326E-006 2.699E-001 5.770E-002 9.215E-005 1.086E-003 
00L9 9:41 320.6 36.16 1.000E+000 3.489E+000 1.582E-009 7.871E+002 2.624E+000 1.164E-005 1.756E-004 1.072E-001 1.748E-004 5.064E-006 2.703E-001 5.610E-002 9.011E-005 7.264E-003 
0L10 10:0 323.6 35.83 1.000E+000 3.731E+000 2.438E-009 7.978E+002 2.614E+000 1.330E-005 1.768E-004 1.061E-001 1.758E-004 5.075E-006 2.721E-001 5.570E-002 9.096E-005 7.132E-004 
0L11 10:20 325.8 35.59 1.000E+000 3.856E+000 3.339E-009 8.049E+002 2.600E+000 1.477E-005 1.788E-004 1.054E-001 1.779E-004 5.132E-006 2.737E-001 5.550E-002 9.230E-005 4.201E-004 
0L12 10:45 328.2 35.33 1.000E+000 4.180E+000 4.819E-009 8.120E+002 2.678E+000 1.875E-005 1.847E-004 1.046E-001 1.835E-004 5.293E-006 2.758E-001 5.520E-002 9.571E-005 4.283E-002 
0L13 11:5 330.5 35.08 1.000E+000 4.084E+000 6.352E-009 8.181E+002 2.580E+000 1.814E-005 1.789E-004 1.018E-001 1.779E-004 4.999E-006 2.761E-001 5.380E-002 9.275E-005 2.022E-003 
0L14 11:26 333.4 34.78 1.000E+000 3.470E+000 9.724E-009 8.248E+002 2.598E+000 2.139E-005 1.796E-004 9.908E-002 1.787E-004 4.910E-006 2.773E-001 5.250E-002 9.334E-005 1.559E-002 
0L15 11:57 335.9 34.52 1.000E+000 3.027E+000 1.274E-008 8.294E+002 2.541E+000 2.238E-005 1.756E-004 9.576E-002 1.748E-004 4.650E-006 2.778E-001 5.070E-002 9.153E-005 1.053E-003 
