N x
1.3804986E+0 1.4359130E+21
1.3682012E+0 1.4431795E+21
1.3559177E+0 1.4802963E+21
1.3440228E+0 1.5005284E+21
1.3318483E+0 1.4965533E+21
1.3196714E+0 1.5160534E+21
1.3075892E+0 1.4981351E+21
1.2948886E+0 1.4517928E+21
1.2817664E+0 1.4706265E+21
1.2691447E+0 1.5028489E+21
1.2563169E+0 1.4918788E+21
1.2432459E+0 1.4752339E+21
1.2298496E+0 1.4773490E+21
1.2165330E+0 1.4837253E+21
1.2029566E+0 1.4902781E+21
1.1894599E+0 1.4788839E+21
1.1753574E+0 1.4726193E+21
1.1614198E+0 1.5011056E+21
1.1475178E+0 1.4829271E+21
1.1328880E+0 1.4751935E+21
1.1184780E+0 1.4885947E+21
1.1037317E+0 1.4700755E+21
1.0885588E+0 1.4673586E+21
1.0733445E+0 1.4707274E+21
1.0578074E+0 1.4777873E+21
1.0422956E+0 1.4905865E+21
1.0265633E+0 1.4608280E+21
1.0099154E+0 1.4555092E+21
9.9354836E-1 1.4882849E+21
9.7708960E-1 1.4638950E+21
9.5959710E-1 1.4487694E+21
9.4217834E-1 1.4617896E+21
9.2434806E-1 1.4644571E+21
9.0631878E-1 1.4526538E+21
8.8746518E-1 1.4545813E+21
8.6872169E-1 1.4508650E+21
8.4893295E-1 1.4370234E+21
8.2893042E-1 1.4526972E+21
8.0861874E-1 1.4448886E+21
7.8736371E-1 1.4431922E+21
7.6589899E-1 1.4557954E+21
